Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Dirk Nowitzki,nowitdi01,PF,38,DAL,5,5,4.8,13.4,.358,.403,1.4,1.4,1.000,1.4,0.6,0.6,1.0,12.2
Jusuf Nurkic,nurkiju01,C,22,DEN,27,25,4.0,7.7,.524,.524,1.3,2.5,.500,1.4,0.6,1.0,2.3,9.3
Kyle O'Quinn,oquinky01,PF,26,NYK,28,4,2.9,5.1,.559,.559,0.8,1.1,.677,1.2,0.4,1.3,0.9,6.5
Daniel Ochefu,ochefda01,C,23,WAS,6,0,0.2,0.8,.200,.200,0.0,0.0,,0.2,0.0,0.0,0.3,0.3
Jahlil Okafor,okafoja01,C,21,PHI,24,11,4.8,9.3,.513,.513,1.8,2.9,.609,1.0,0.4,1.2,1.4,11.3
Victor Oladipo,oladivi01,SG,24,OKC,24,24,6.3,13.9,.455,.531,1.3,2.1,.620,2.8,0.9,0.3,1.8,16.1
Kelly Olynyk,olynyke01,C,25,BOS,23,5,2.9,6.6,.437,.520,1.3,1.7,.775,1.7,1.0,0.3,1.3,8.2
Arinze Onuaku,onuakar01,C,29,ORL,5,0,0.2,0.6,.333,.333,0.0,0.0,,0.0,0.0,0.2,0.0,0.4
Kelly Oubre,oubreke01,SF,21,WAS,26,1,2.2,5.2,.422,.481,1.1,1.5,.763,0.6,0.7,0.1,0.6,6.1
Zaza Pachulia,pachuza01,C,32,GSW,26,26,1.8,3.5,.505,.505,1.1,1.5,.763,2.3,0.8,0.5,1.3,4.7
Georgios Papagiannis,papagge01,C,19,SAC,1,0,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,1.0,2.0
Jabari Parker,parkeja01,PF,21,MIL,27,27,7.9,16.2,.486,.524,3.1,4.3,.730,2.1,1.1,0.2,1.4,20.1
Tony Parker,parketo01,PG,34,SAS,21,21,3.9,8.9,.441,.462,1.4,1.6,.853,4.3,0.4,0.0,1.4,9.6
Chandler Parsons,parsoch01,SF,28,MEM,7,7,2.7,7.3,.373,.422,0.7,0.9,.833,1.0,0.3,0.3,1.1,6.9
Patrick Patterson,pattepa01,PF,27,TOR,27,0,2.6,6.9,.373,.492,0.8,1.1,.710,1.7,1.0,0.3,0.6,7.6
Chris Paul,paulch01,PG,31,LAC,30,30,5.9,12.7,.463,.543,3.9,4.4,.872,9.6,2.2,0.2,2.3,17.6
Adreian Payne,paynead01,PF,25,MIN,9,0,1.9,4.1,.459,.486,1.3,1.7,.800,0.3,0.4,0.4,0.8,5.3
Elfrid Payton,paytoel01,PG,22,ORL,31,16,4.6,10.3,.451,.476,1.5,2.4,.613,5.6,1.2,0.6,2.0,11.3
Paul Pierce,piercpa01,SF,39,LAC,9,3,1.0,3.1,.321,.446,0.8,0.9,.875,0.2,0.2,0.2,0.6,3.6
Marshall Plumlee,plumlma02,C,24,NYK,3,0,0.3,0.3,1.000,1.000,0.7,1.0,.667,0.3,0.3,0.0,0.0,1.3
Mason Plumlee,plumlma01,C,26,POR,31,31,4.5,8.1,.560,.560,1.9,3.7,.509,4.4,0.9,1.1,1.7,11.0
Miles Plumlee,plumlmi01,C,28,MIL,20,9,1.0,2.1,.463,.463,0.8,1.1,.682,0.8,0.5,0.3,0.9,2.7
Jakob Poeltl,poeltja01,C,21,TOR,15,2,0.9,2.2,.424,.424,0.5,1.1,.471,0.3,0.4,0.3,0.3,2.4
Otto Porter,porteot01,SF,23,WAS,28,28,5.4,10.2,.530,.602,1.1,1.4,.795,1.4,1.7,0.6,0.8,13.4
Bobby Portis,portibo01,PF,21,CHI,21,0,1.7,3.7,.468,.506,0.5,1.0,.550,0.7,0.1,0.2,0.7,4.2
Kristaps Porzingis,porzikr01,PF,21,NYK,29,29,7.2,16.0,.452,.518,3.3,4.2,.785,1.3,0.7,1.8,1.6,19.9
Dwight Powell,poweldw01,C,25,DAL,29,1,2.9,5.8,.509,.515,1.6,2.1,.783,0.9,1.2,0.6,0.5,7.6
Norman Powell,powelno01,SG,23,TOR,24,5,2.4,4.7,.518,.603,1.4,1.8,.767,1.0,0.9,0.2,0.5,7.0
Tim Quarterman,quartti01,SG,22,POR,10,0,0.7,0.8,.875,1.000,0.0,0.0,,0.4,0.0,0.2,0.2,1.6
Julius Randle,randlju01,PF,22,LAL,28,28,5.2,10.5,.495,.500,2.4,3.5,.680,3.4,0.7,0.5,2.9,12.8
Zach Randolph,randoza01,PF,35,MEM,24,1,5.5,12.6,.432,.441,1.7,2.3,.727,1.5,0.5,0.2,1.0,12.8
J.J. Redick,redicjj01,SG,32,LAC,29,29,5.2,11.2,.466,.580,2.3,2.6,.905,0.9,0.7,0.1,1.3,15.3
Willie Reed,reedwi02,PF,26,MIA,22,0,1.5,2.7,.550,.550,0.7,1.5,.471,0.3,0.1,0.4,0.2,3.7
Josh Richardson,richajo01,SG,23,MIA,20,12,4.0,10.4,.380,.457,0.8,1.1,.727,2.2,0.7,0.5,1.3,10.3
Malachi Richardson,richama01,SG,21,SAC,4,0,0.8,2.3,.333,.444,0.5,0.5,1.000,0.5,0.3,0.0,0.0,2.5
Austin Rivers,riverau01,SG,24,LAC,29,3,3.3,7.6,.441,.523,1.2,1.8,.642,2.1,0.7,0.1,0.9,9.1
Andre Roberson,roberan03,SF,25,OKC,29,29,3.0,6.6,.453,.521,0.4,1.3,.316,1.0,1.3,1.0,0.7,7.2
Brian Roberts,roberbr01,PG,31,CHO,7,0,0.3,1.9,.154,.154,1.1,1.4,.800,0.6,0.1,0.0,0.6,1.7
Glenn Robinson,robingl02,SF,23,IND,29,12,2.2,5.5,.400,.456,0.9,1.1,.758,0.7,0.5,0.3,0.6,5.9
Thomas Robinson,robinth01,PF,25,LAL,19,1,1.2,2.8,.415,.415,0.7,1.3,.520,0.5,0.4,0.3,0.5,3.0
Sergio Rodriguez,rodrise01,PG,30,PHI,27,26,3.5,9.2,.382,.462,0.3,0.4,.800,6.3,1.0,0.1,2.4,8.8
Rajon Rondo,rondora01,PG,30,CHI,24,24,3.4,8.8,.384,.419,0.5,1.0,.542,7.3,1.4,0.3,2.8,7.9
Derrick Rose,rosede01,PG,28,NYK,25,25,6.7,14.6,.458,.470,3.1,3.6,.846,4.4,0.6,0.5,2.4,16.8
Terrence Ross,rosste01,SF,25,TOR,27,0,3.9,8.1,.482,.586,1.1,1.2,.909,0.6,0.9,0.3,0.4,10.7
Terry Rozier,roziete01,PG,22,BOS,29,0,2.2,6.0,.371,.431,0.8,1.1,.719,1.8,0.6,0.2,0.6,6.0
Ricky Rubio,rubiori01,PG,26,MIN,23,23,2.1,5.7,.366,.420,2.3,2.7,.841,6.9,1.5,0.1,2.1,7.1
Damjan Rudez,rudezda01,SF,30,ORL,18,0,0.7,1.9,.382,.515,0.0,0.0,,0.4,0.4,0.0,0.3,1.9
Brandon Rush,rushbr01,SG,31,MIN,11,0,0.5,2.2,.250,.333,0.1,0.2,.500,0.6,0.2,0.2,0.5,1.5
D'Angelo Russell,russeda01,PG,20,LAL,19,19,5.3,13.1,.403,.494,2.2,2.8,.778,4.6,1.2,0.4,3.1,15.1
Domantas Sabonis,sabondo01,PF,20,OKC,29,29,2.5,5.8,.435,.518,0.1,0.2,.500,1.3,0.6,0.4,1.1,6.1
Dario Saric,saricda01,PF,22,PHI,28,10,3.3,8.7,.381,.453,1.3,1.6,.778,1.7,0.4,0.2,1.9,9.1
Tomas Satoransky,satorto01,SG,25,WAS,21,2,1.3,3.4,.394,.408,0.5,0.8,.647,2.3,0.5,0.0,0.9,3.3
Dennis Schroder,schrode01,PG,23,ATL,29,29,6.7,14.3,.464,.511,2.6,3.2,.815,6.3,0.8,0.2,3.1,17.2
Luis Scola,scolalu01,PF,36,BRK,25,1,2.1,4.4,.482,.527,0.7,1.1,.630,0.9,0.4,0.2,1.0,5.3
Mike Scott,scottmi01,PF,28,ATL,5,0,0.8,3.4,.235,.265,0.4,0.4,1.000,1.2,0.0,0.0,0.4,2.2
Thabo Sefolosha,sefolth01,SF,32,ATL,26,11,3.2,6.7,.480,.517,0.8,1.2,.733,1.8,2.0,0.4,1.1,7.7
Kevin Seraphin,serapke01,PF,27,IND,14,0,1.8,3.6,.490,.490,0.1,0.3,.500,0.6,0.2,0.4,0.6,3.7
Ramon Sessions,sessira01,PG,30,CHO,29,1,2.0,5.1,.385,.422,1.8,2.5,.712,3.0,0.6,0.1,0.9,6.1
Iman Shumpert,shumpim01,SG,26,CLE,26,1,2.4,5.3,.460,.584,1.0,1.2,.813,1.9,0.9,0.3,1.4,7.2
Pascal Siakam,siakapa01,PF,22,TOR,28,28,2.5,4.7,.542,.542,0.6,0.8,.773,0.5,0.5,0.9,0.8,5.7
Jonathon Simmons,simmojo02,SG,27,SAS,29,1,2.1,4.9,.433,.468,1.2,1.7,.720,1.7,0.7,0.4,1.1,5.8
Kyle Singler,singlky01,SF,28,OKC,15,0,0.9,2.4,.361,.403,0.5,0.5,.875,0.2,0.1,0.2,0.6,2.4
Marcus Smart,smartma01,PG,22,BOS,26,9,3.3,9.3,.360,.421,1.6,2.3,.683,4.2,1.2,0.3,1.9,9.4
Ish Smith,smithis01,PG,28,DET,31,21,3.9,9.4,.414,.430,1.1,1.5,.733,5.8,0.7,0.3,1.4,9.2
J.R. Smith,smithjr01,SG,31,CLE,21,21,3.0,8.8,.337,.473,0.3,0.4,.778,1.2,1.2,0.4,0.7,8.6
Jason Smith,smithja02,C,30,WAS,26,0,1.6,3.3,.477,.483,0.2,0.3,.857,0.3,0.3,0.3,0.8,3.4
Tony Snell,snellto01,SF,25,MIL,26,26,3.0,7.6,.401,.503,0.5,0.7,.778,1.3,0.3,0.2,0.7,8.2
Marreese Speights,speigma01,C,29,LAC,30,0,3.2,7.1,.448,.521,1.9,2.3,.841,0.8,0.3,0.4,0.7,9.3
Nik Stauskas,stausni01,SG,23,PHI,27,3,3.1,7.1,.445,.560,1.6,2.1,.768,1.9,0.4,0.4,1.6,9.5
Lance Stephenson,stephla01,SG,26,NOP,6,0,4.3,9.2,.473,.482,0.8,1.3,.625,4.8,0.3,0.2,1.8,9.7
Jarnell Stokes,stokeja01,PF,23,DEN,2,0,0.5,0.5,1.000,1.000,0.5,1.0,.500,1.0,0.5,0.0,0.0,1.5
Diamond Stone,stonedi01,C,19,LAC,4,0,0.5,2.3,.222,.222,0.5,0.5,1.000,0.0,0.0,0.3,0.3,1.5
Rodney Stuckey,stuckro01,PG,30,IND,16,0,3.2,7.3,.440,.474,2.6,3.6,.737,2.2,0.4,0.0,1.7,9.5
Walter Tavares,tavarwa01,C,24,ATL,1,0,1.0,1.0,1.000,1.000,0.0,2.0,.000,0.0,0.0,0.0,0.0,2.0
Jeff Teague,teaguje01,PG,28,IND,31,31,5.2,12.0,.430,.468,4.7,5.5,.843,7.3,1.8,0.5,2.6,15.9
Mirza Teletovic,teletmi01,PF,31,MIL,24,1,2.8,6.8,.420,.565,0.5,0.8,.722,0.8,0.1,0.3,0.8,8.2
Garrett Temple,templga01,SG,30,SAC,29,3,2.4,5.6,.436,.549,0.9,1.1,.839,2.1,1.0,0.5,1.0,7.1
Jason Terry,terryja01,SG,39,MIL,22,0,1.0,3.2,.329,.443,0.2,0.2,.800,1.3,0.3,0.2,0.3,3.0
Isaiah Thomas,thomais02,PG,27,BOS,25,25,8.2,18.7,.438,.502,7.9,8.8,.895,6.2,0.9,0.2,2.1,26.7
Lance Thomas,thomala01,PF,28,NYK,18,1,1.7,4.5,.383,.457,0.4,0.5,.889,0.3,0.5,0.2,0.6,4.6
Hollis Thompson,thompho01,SG,25,PHI,27,1,2.2,5.3,.413,.497,0.5,0.7,.650,0.9,0.5,0.2,0.3,5.7
Klay Thompson,thompkl01,SG,26,GSW,30,30,8.2,17.4,.472,.556,2.1,2.4,.889,2.1,0.8,0.3,1.8,21.4
Tristan Thompson,thomptr01,C,25,CLE,27,27,2.7,4.7,.575,.575,1.2,2.7,.458,0.8,0.5,1.3,0.7,6.6
Marcus Thornton,thornma01,SG,29,WAS,27,1,2.7,6.7,.400,.461,0.9,0.9,.920,1.2,0.6,0.1,0.7,7.0
Anthony Tolliver,tollian01,PF,31,SAC,17,1,1.5,3.6,.403,.508,0.8,0.9,.933,0.8,0.3,0.3,0.5,4.5
Karl-Anthony Towns,townska01,C,21,MIN,28,28,8.5,17.7,.478,.514,3.9,5.0,.786,2.5,0.6,1.4,2.6,22.1
P.J. Tucker,tuckepj01,SF,31,PHO,29,13,2.2,5.8,.377,.437,1.1,1.5,.721,1.1,1.2,0.2,0.9,6.1
Evan Turner,turneev01,SG,28,POR,29,1,3.6,8.5,.423,.453,1.5,1.8,.863,3.0,0.8,0.3,1.2,9.2
Myles Turner,turnemy01,C,20,IND,30,30,5.7,10.7,.533,.561,3.3,4.1,.798,1.0,0.8,2.4,1.4,15.3
Beno Udrih,udrihbe01,PG,34,DET,24,0,2.6,5.6,.467,.500,0.9,1.0,.917,3.3,0.3,0.0,0.8,6.5
Tyler Ulis,ulisty01,PG,21,PHO,17,0,1.2,3.0,.412,.422,0.6,0.8,.786,1.6,0.9,0.1,0.8,3.2
Jonas Valanciunas,valanjo01,C,24,TOR,26,26,5.0,9.3,.535,.535,2.4,2.9,.840,0.8,0.5,0.7,1.5,12.3
Denzel Valentine,valende01,SG,23,CHI,20,0,0.9,3.2,.270,.357,0.4,0.4,.875,0.5,0.3,0.1,0.4,2.6
Fred VanVleet,vanvlfr01,PG,22,TOR,8,0,0.6,1.6,.385,.423,0.0,0.0,,0.9,0.6,0.0,0.1,1.4
Anderson Varejao,varejan01,C,34,GSW,9,1,0.2,0.9,.250,.250,0.8,0.9,.875,0.8,0.2,0.2,0.7,1.2
Greivis Vasquez,vasqugr01,PG,30,BRK,3,0,0.7,2.7,.250,.313,0.7,1.0,.667,1.7,0.3,0.3,0.3,2.3
Rashad Vaughn,vaughra01,SG,20,MIL,14,0,1.7,4.4,.387,.500,0.0,0.0,,0.3,0.4,0.3,0.3,4.4
Noah Vonleh,vonleno01,PF,21,POR,24,4,1.2,3.0,.394,.437,0.5,0.7,.706,0.2,0.3,0.4,0.8,3.1
Nikola Vucevic,vucevni01,C,26,ORL,28,16,5.7,12.9,.440,.450,1.2,2.0,.607,2.6,0.8,0.9,1.4,12.8
Sasha Vujacic,vujacsa01,SG,32,NYK,18,0,0.6,1.8,.344,.422,0.2,0.2,.750,0.8,0.2,0.0,0.5,1.7
Dwyane Wade,wadedw01,SG,35,CHI,26,26,7.1,16.1,.443,.472,4.1,5.1,.803,3.6,1.5,0.7,2.2,19.3
Dion Waiters,waitedi01,SG,25,MIA,16,16,5.5,14.3,.384,.430,1.9,2.9,.652,3.9,0.9,0.6,2.2,14.2
Kemba Walker,walkeke02,PG,26,CHO,28,28,8.1,17.6,.460,.538,3.7,4.7,.794,5.5,1.4,0.3,2.2,22.6
John Wall,walljo01,PG,26,WAS,26,26,8.5,18.5,.460,.494,5.5,6.8,.807,9.7,2.3,0.5,4.3,23.7
Taurean Waller-Prince,princta02,SF,22,ATL,18,0,1.3,3.2,.397,.457,0.6,0.7,.917,0.7,0.3,0.3,0.7,3.6
T.J. Warren,warretj01,SF,23,PHO,16,13,6.4,14.1,.456,.476,2.3,2.8,.818,0.9,1.6,0.4,0.8,15.7
C.J. Watson,watsocj01,PG,32,ORL,21,0,0.7,2.3,.286,.367,0.6,0.8,.813,1.0,0.5,0.0,0.3,2.3
David West,westda01,PF,36,GSW,30,0,1.7,3.2,.542,.552,0.6,0.9,.692,1.8,0.6,0.6,1.2,4.1
Russell Westbrook,westbru01,PG,28,OKC,29,29,10.3,24.2,.427,.465,8.8,10.7,.820,10.8,1.3,0.3,5.5,31.3
Isaiah Whitehead,whiteis01,PG,21,BRK,22,16,2.6,6.4,.411,.450,1.0,1.3,.786,3.1,0.7,0.5,2.2,6.8
Hassan Whiteside,whiteha01,C,27,MIA,30,30,7.7,13.8,.554,.554,2.9,5.3,.544,0.6,0.8,2.4,2.0,18.2
Andrew Wiggins,wiggian01,SF,21,MIN,28,28,7.8,17.8,.441,.479,4.9,6.5,.762,2.4,0.7,0.4,2.5,21.9
C.J. Wilcox,wilcocj01,SG,26,ORL,10,0,0.3,1.2,.250,.333,0.2,0.2,1.000,0.7,0.0,0.0,0.3,1.0
Alan Williams,willial03,PF,24,PHO,12,0,1.5,2.7,.563,.563,0.6,1.3,.438,0.1,0.4,0.6,0.7,3.6
Deron Williams,willide01,PG,32,DAL,21,21,5.0,12.1,.412,.475,2.4,2.6,.926,6.6,0.5,0.1,2.1,13.9
Derrick Williams,willide02,SF,25,MIA,16,9,2.5,6.3,.396,.421,1.4,2.4,.605,0.4,0.4,0.3,0.4,6.8
Lou Williams,willilo02,SG,30,LAL,32,0,5.8,13.1,.445,.520,5.4,6.2,.869,3.4,1.4,0.2,2.2,19.1
Marvin Williams,willima02,PF,30,CHO,23,23,3.7,9.7,.384,.478,1.1,1.4,.781,1.3,0.4,0.3,0.7,10.4
Reggie Williams,willire02,SF,30,NOP,5,0,1.4,4.0,.350,.475,1.2,1.4,.857,0.8,0.6,0.0,0.0,5.0
Troy Williams,willitr02,SF,22,MEM,24,13,2.1,5.1,.418,.459,0.6,1.0,.600,0.8,1.0,0.4,1.1,5.3
Kyle Wiltjer,wiltjky01,PF,24,HOU,6,0,0.5,1.0,.500,.750,0.2,0.3,.500,0.0,0.0,0.0,0.3,1.7
Justise Winslow,winslju01,SF,20,MIA,14,11,4.8,12.8,.374,.394,1.7,2.9,.600,3.4,1.7,0.3,1.8,11.8
Jeff Withey,witheje01,C,26,UTA,23,0,1.0,1.8,.561,.561,0.7,0.9,.762,0.1,0.4,0.8,0.3,2.7
Christian Wood,woodch01,PF,21,CHO,1,0,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Metta World Peace,artesro01,SF,37,LAL,12,1,0.4,1.8,.238,.286,0.3,0.5,.667,0.3,0.3,0.2,0.2,1.3
James Young,youngja01,SG,21,BOS,11,0,0.5,1.3,.429,.500,0.0,0.0,,0.3,0.3,0.0,0.1,1.3
Joe Young,youngjo01,PG,24,IND,16,0,1.2,3.2,.373,.402,0.5,0.7,.727,0.6,0.3,0.0,0.1,3.1
Nick Young,youngni01,SG,31,LAL,25,25,5.1,11.0,.467,.599,1.6,1.8,.909,1.1,0.4,0.4,0.6,14.7
Thaddeus Young,youngth01,PF,28,IND,31,31,5.1,9.5,.536,.592,0.6,1.2,.514,1.5,1.2,0.5,1.6,11.9
Cody Zeller,zelleco01,PF,24,CHO,26,24,4.2,7.2,.583,.583,2.4,3.7,.653,1.2,0.7,1.1,1.1,10.8
Tyler Zeller,zellety01,C,27,BOS,24,5,1.8,4.0,.458,.458,0.5,0.9,.591,1.0,0.2,0.6,0.4,4.2
Stephen Zimmerman,zimmest01,C,20,ORL,5,0,0.4,1.4,.286,.286,0.0,0.2,.000,0.2,0.0,0.0,0.0,0.8
Paul Zipser,zipsepa01,SF,22,CHI,8,0,0.1,1.6,.077,.077,0.1,0.3,.500,0.5,0.3,0.0,0.4,0.4
Ivica Zubac,zubaciv01,C,19,LAL,6,1,0.5,1.7,.300,.300,0.5,0.7,.750,0.0,0.2,0.0,0.3,1.5


