Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Devin Harris,harride01,PG,33,DAL,13,0,1.2,3.5,.333,.411,0.5,0.6,.875,1.4,0.7,0.0,0.7,3.4
Gary Harris,harriga01,SG,22,DEN,9,8,4.9,9.4,.518,.588,1.7,2.6,.652,2.8,0.9,0.2,1.1,12.8
Joe Harris,harrijo01,SG,25,BRK,28,0,3.5,7.8,.447,.564,1.0,1.3,.757,1.3,0.8,0.1,1.3,9.8
Tobias Harris,harrito02,PF,24,DET,31,31,6.1,13.0,.473,.517,2.2,2.4,.893,1.7,0.7,0.6,1.5,15.6
Aaron Harrison,harriaa01,SG,22,CHO,4,0,0.0,1.0,.000,.000,0.3,0.5,.500,0.5,0.0,0.0,0.0,0.3
Andrew Harrison,harrian01,SG,22,MEM,30,12,1.9,6.6,.283,.333,2.5,3.2,.784,3.6,1.2,0.6,1.6,6.9
Udonis Haslem,hasleud01,PF,36,MIA,8,0,0.3,1.0,.250,.250,0.3,0.5,.500,0.1,0.1,0.0,0.0,0.8
Spencer Hawes,hawessp01,PF,28,CHO,22,0,2.8,6.0,.466,.496,0.6,0.8,.778,1.6,0.4,0.7,1.2,6.5
Gordon Hayward,haywago01,SF,26,UTA,23,23,7.0,16.0,.439,.495,6.1,7.0,.870,3.7,1.0,0.3,2.2,22.0
Gerald Henderson,hendege02,SG,29,PHI,27,27,3.6,7.9,.458,.514,1.4,1.7,.822,1.6,0.7,0.2,1.0,9.4
John Henson,hensojo01,C,26,MIL,25,18,3.0,5.9,.500,.500,1.6,2.3,.702,1.1,0.5,1.6,1.1,7.5
Juan Hernangomez,hernaju01,PF,21,DEN,22,1,1.1,2.5,.436,.536,0.9,1.4,.645,0.5,0.4,0.3,0.3,3.6
Willy Hernangomez,hernawi01,C,22,NYK,24,0,2.6,4.5,.578,.587,0.9,1.3,.733,0.8,0.4,0.5,1.3,6.3
Mario Hezonja,hezonma01,SF,21,ORL,19,0,1.4,4.2,.329,.367,0.4,0.5,.700,0.5,0.3,0.1,0.8,3.4
Roy Hibbert,hibbero01,C,30,CHO,23,5,1.8,3.8,.477,.477,1.8,2.3,.759,0.7,0.2,1.0,0.7,5.4
Buddy Hield,hieldbu01,SG,23,NOP,31,11,3.2,8.3,.384,.467,0.5,0.5,.882,1.2,0.2,0.1,0.9,8.3
Nene Hilario,hilarne01,C,34,HOU,25,1,2.9,5.1,.570,.578,1.5,2.4,.607,0.8,0.6,0.5,1.3,7.4
George Hill,hillge01,PG,30,UTA,11,11,7.1,13.3,.534,.623,3.5,3.9,.884,4.2,1.1,0.2,1.4,20.0
Jordan Hill,hilljo01,C,29,MIN,3,0,0.7,1.0,.667,.667,0.7,0.7,1.000,0.0,0.0,0.0,0.7,2.0
Solomon Hill,hillso01,SF,25,NOP,29,21,1.8,4.8,.374,.457,1.3,1.6,.826,1.9,0.9,0.4,1.0,5.7
Darrun Hilliard,hillida01,SG,23,DET,19,1,1.5,3.8,.389,.451,0.6,0.8,.750,0.9,0.4,0.1,0.9,4.1
Jrue Holiday,holidjr01,PG,26,NOP,16,10,5.8,13.3,.432,.484,2.1,3.1,.673,6.4,1.1,0.4,2.4,14.9
Justin Holiday,holidju01,SG,27,NYK,29,2,2.4,5.9,.418,.500,0.9,1.0,.833,1.1,0.9,0.3,0.7,6.7
Rondae Hollis-Jefferson,holliro01,SF,22,BRK,25,14,2.5,6.5,.387,.411,2.2,2.9,.740,2.2,1.0,0.6,1.3,7.5
Richaun Holmes,holmeri01,PF,23,PHI,21,2,2.9,5.6,.513,.543,0.9,1.4,.621,0.9,0.6,0.9,0.9,6.9
Rodney Hood,hoodro01,SG,24,UTA,25,25,5.6,13.0,.428,.508,2.0,2.6,.766,2.0,0.7,0.2,1.2,15.2
