"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"79","Jrue Holiday","PG",26,"NOP",16,10,5.8,13.3,0.432,0.484,2.1,3.1,0.673,6.4,1.1,0.4,2.4,14.9,16,10,92,213,0.432,0.484,33,49,0.673,103,39,239,16,0.509,35.7,14.3,24.9,0.3,16,8,8,485,910,1042,103,9,15,202,246,128,11.3,14.1,4.12
"80","Rodney Hood","SG",24,"UTA",25,25,5.6,13,0.428,0.508,2,2.6,0.766,2,0.7,0.2,1.2,15.2,25,25,139,325,0.428,0.508,49,64,0.766,50,29,379,25,0.537,12,7.6,24.5,0.4,24,16,8,710,696,900,49,4,16,107,116,69,7,9.9,2.14
"81","Al Horford","C",30,"BOS",19,19,6,13,0.462,0.51,2.1,2.5,0.83,5.1,0.6,2.2,1.5,15.3,19,19,114,247,0.462,0.51,39,47,0.83,96,29,291,19,0.544,25,9.8,21.1,1,19,12,7,627,1000,955,96,7,14,178,231,117,9.6,11.7,4.02
"82","Dwight Howard","C",31,"ATL",26,26,5.6,8.9,0.632,0.632,3,5.7,0.524,1.2,1,1.5,2.5,14.2,26,26,146,231,0.632,0.632,77,147,0.524,31,65,369,26,0.624,6.7,18,20.7,0.8,25,11,14,724,963,639,30,4,12,65,70,46,3.1,4.8,2.88
"83","Serge Ibaka","PF",27,"ORL",31,31,6.1,12.4,0.49,0.549,1.5,1.9,0.828,1,0.5,1.7,1.1,15.2,31,31,188,384,0.49,0.549,48,58,0.828,31,35,470,31,0.574,5.7,7.9,21,0.7,31,13,18,948,1096,924,31,2,12,74,77,45,2.8,4.1,2.66
"84","Andre Iguodala","SF",33,"GSW",29,0,2.3,5.1,0.456,0.534,0.4,0.8,0.565,3.3,0.9,0.4,0.7,5.9,29,0,67,147,0.456,0.534,13,23,0.565,97,19,170,29,0.541,16.8,10.8,10.5,0.6,29,26,3,716,807,738,97,8,35,170,232,141,12,17.5,5.75
"85","Ersan Ilyasova","PF",29,"PHI",25,14,5.2,11.4,0.461,0.548,1.9,2.4,0.814,1.6,0.4,0.2,1.3,14.4,25,14,131,284,0.461,0.548,48,59,0.814,40,33,359,25,0.579,10.5,9.6,22.2,0.3,28,10,18,747,1100,982,41,2,10,90,104,53,3.7,4.8,3.5
"86","Brandon Ingram","SF",19,"LAL",32,9,2.7,7.7,0.348,0.387,1.5,2.2,0.69,2,0.5,0.4,1.4,7.5,32,9,86,247,0.348,0.387,49,71,0.69,65,44,240,32,0.431,10.4,13.7,15.6,-0.6,32,11,21,875,1097,1059,65,5,12,121,159,82,5.9,7.5,3.82
"87","Kyrie Irving","PG",24,"CLE",25,25,9,18.6,0.481,0.546,3.9,4.4,0.882,5.3,0.6,0.2,2.5,24.2,25,25,224,466,0.481,0.546,97,110,0.882,133,63,606,25,0.589,27.6,10.9,29.4,1,25,20,5,867,1286,1630,133,10,37,257,331,180,10.3,14,2.74
"88","LeBron James","SF",32,"CLE",25,25,9.4,18.4,0.514,0.564,4.8,6.9,0.694,8.8,1.3,0.5,3.8,25.5,25,25,236,459,0.514,0.564,120,173,0.694,221,96,638,25,0.596,42.5,15.2,30,2.5,25,21,4,929,1469,1755,221,19,32,415,579,271,15,18.4,3.04
"89","Brandon Jennings","PG",27,"NYK",29,4,2.7,7.1,0.376,0.444,1.7,2.2,0.794,5.5,1,0,2.1,8,29,4,77,205,0.376,0.444,50,63,0.794,160,60,232,29,0.498,32.8,20.5,18.3,-0.1,29,16,13,688,1402,1550,160,16,28,339,381,203,11.4,14.5,6.04
"90","James Johnson","PF",29,"MIA",26,0,4,8,0.505,0.572,1.5,2,0.717,2.4,0.6,0.9,1.8,10.6,26,0,105,208,0.505,0.572,38,53,0.717,62,46,276,26,0.597,15.8,16.6,19.3,0.6,26,10,16,637,961,820,62,10,7,138,153,79,6.5,8.2,3.99
"91","Joe Johnson","SF",35,"UTA",30,8,3.3,7.7,0.435,0.517,0.9,1.1,0.818,1.8,0.4,0.1,0.9,8.8,30,8,100,230,0.435,0.517,27,33,0.818,54,26,265,30,0.542,12.3,9.6,17.9,0.3,29,17,12,700,704,727,54,7,16,106,136,77,7.7,10.9,3.05
"92","Tyler Johnson","SG",24,"MIA",28,0,4.8,11.4,0.423,0.483,2.5,3.3,0.742,3.2,1.2,0.6,1.1,13.5,28,0,135,319,0.423,0.483,69,93,0.742,90,32,377,28,0.524,16.4,8.2,19.9,0.8,28,10,18,873,1180,1260,90,6,17,201,216,113,7.6,9.6,3.57
"93","Nikola Jokic","PF",21,"DEN",26,12,4.7,8.1,0.573,0.592,1.9,2.4,0.806,3.2,0.6,0.6,1.5,11.5,26,12,121,211,0.573,0.592,50,62,0.806,84,38,300,26,0.63,21.9,13.8,18.7,1.2,26,11,15,623,997,737,84,2,14,152,197,100,8.4,10,4.21
"94","Terrence Jones","PF",25,"NOP",30,4,4.3,9.1,0.473,0.493,2,3.2,0.608,1.1,0.8,1,1.1,10.9,30,4,129,273,0.473,0.493,59,97,0.608,34,32,328,30,0.52,7.4,9.2,20.5,0.1,30,10,20,748,834,718,34,4,10,77,80,48,4.1,5.8,2.65
"95","DeAndre Jordan","C",28,"LAC",30,30,4.5,6.8,0.665,0.665,2.7,5,0.55,0.8,0.6,1.8,1.5,11.7,30,30,135,203,0.665,0.665,82,149,0.55,23,44,352,30,0.655,3.6,14.1,14.7,1.1,30,22,8,945,1092,570,23,1,11,46,59,35,2.1,3.2,3.68
"96","Kyle Korver","SG",35,"ATL",27,21,3.3,7.3,0.449,0.583,0.6,0.7,0.895,2.2,0.7,0.4,1.4,9.2,27,21,89,198,0.449,0.583,17,19,0.895,60,38,248,27,0.601,11.4,15.6,14,0.3,26,11,15,738,653,598,59,7,13,94,130,79,9,12.1,3.11
"97","Zach LaVine","SG",21,"MIN",27,27,7.6,16.1,0.47,0.552,2.9,3.4,0.868,3.1,0.8,0.3,2,20.7,27,27,204,434,0.47,0.552,79,91,0.868,85,53,558,27,0.589,14.1,10.1,22.5,0.7,27,8,19,1023,1072,1358,85,7,14,168,193,106,7.9,9.9,2.38
"98","Ty Lawson","PG",29,"SAC",29,14,2.9,6.9,0.415,0.455,1.4,1.9,0.759,4.4,1.2,0.1,1.7,7.7,29,14,83,200,0.415,0.455,41,54,0.759,128,49,223,29,0.498,26.7,18,16.7,0.1,29,12,17,732,1376,1519,128,11,30,272,307,169,9.3,12.3,6.15
"99","Courtney Lee","SG",31,"NYK",27,27,3.9,8.5,0.452,0.539,0.8,0.9,0.875,1.9,0.9,0.3,0.8,10,27,27,104,230,0.452,0.539,21,24,0.875,51,22,269,27,0.559,8.9,8.4,13.6,0.3,27,14,13,826,813,913,51,7,15,99,123,73,6.3,9,3.53
"100","Kawhi Leonard","SF",25,"SAS",29,29,8,17.1,0.467,0.518,6.3,6.9,0.915,3.1,2,0.6,2,24,29,29,231,495,0.467,0.518,184,201,0.915,90,58,697,29,0.597,16.7,9,30.2,2.1,29,23,6,968,900,1216,90,8,25,167,226,123,10,13.7,1.7
"101","Jon Leuer","PF",27,"DET",30,0,4.4,8.7,0.512,0.556,1.6,1.8,0.889,1.6,0.4,0.4,0.9,11.2,30,0,133,260,0.512,0.556,48,54,0.889,49,27,337,30,0.594,9.7,8.7,17.6,1,29,14,15,774,1043,883,49,5,6,88,110,59,4.7,5.7,3.66
"102","Damian Lillard","PG",26,"POR",31,31,8.8,19.3,0.457,0.524,7.2,8,0.899,6,0.9,0.3,2.7,27.4,31,31,273,598,0.457,0.524,222,247,0.899,187,85,849,31,0.601,29.5,10.7,31.2,1.6,31,13,18,1107,1911,2378,187,24,50,375,450,261,9.8,13.7,2.95
"103","Robin Lopez","C",28,"CHI",28,28,4.4,9.3,0.479,0.479,0.8,1.2,0.667,0.8,0.1,1.8,1,9.6,28,28,124,259,0.479,0.479,22,33,0.667,22,27,270,28,0.494,4.3,9,16.3,0.3,27,13,14,779,618,524,20,1,16,44,44,37,3.2,6,2.26
"104","Kevin Love","PF",28,"CLE",24,24,7.1,15.2,0.468,0.555,5.4,6.3,0.86,1.8,1.1,0.5,2,22.3,24,24,171,365,0.468,0.555,129,150,0.86,42,49,534,24,0.619,9.2,10.2,27.5,1.2,24,19,5,772,980,865,42,2,11,81,101,56,4.3,5.7,2.23
"105","Kyle Lowry","PG",30,"TOR",28,28,6.8,14.7,0.46,0.571,4.5,5.3,0.851,7.4,1.5,0.3,2.9,21.3,28,28,189,411,0.46,0.571,126,148,0.851,207,80,595,28,0.625,30.1,14.4,23.8,2.2,26,19,7,965,1633,1823,193,28,39,350,458,260,11.8,15.9,3.64
"106","Trey Lyles","PF",21,"UTA",30,3,3.4,8.4,0.399,0.466,1,1.2,0.811,1.3,0.5,0.4,1.3,8.9,30,3,101,253,0.399,0.466,30,37,0.811,39,38,266,30,0.494,10.1,12.4,22.6,0.1,29,17,12,637,985,879,39,3,14,70,103,56,4,5.7,3.48
"107","Shelvin Mack","PG",26,"UTA",30,4,3.3,7.3,0.447,0.502,0.9,1.4,0.667,3.2,0.9,0,2,8.3,30,4,98,219,0.447,0.502,28,42,0.667,95,59,248,30,0.522,22.7,19.9,20.5,0.1,29,17,12,661,1212,1334,90,11,15,178,219,116,7.4,9.6,4.74
"108","Wesley Matthews","SG",30,"DAL",28,28,5.2,13.4,0.388,0.503,2.2,2.7,0.813,2.2,1.4,0.1,1.6,15.6,28,28,145,374,0.388,0.503,61,75,0.813,62,45,437,28,0.537,10.7,10,21.3,0.5,28,8,20,1006,1005,1167,62,4,4,147,155,70,6.2,7,2.56
"109","Luc Mbah a Moute","PF",30,"LAC",28,28,2.3,4.5,0.504,0.579,1.1,1.6,0.674,0.3,1.2,0.5,0.7,6.4,28,28,64,127,0.504,0.579,31,46,0.674,9,20,178,28,0.604,2,12,11.7,0.7,28,20,8,636,376,343,9,2,5,21,24,16,2.4,4.3,2.4
"110","Doug McDermott","SF",25,"CHI",16,0,3.8,8.3,0.462,0.515,1.2,1.3,0.905,1.3,0.3,0.1,0.8,9.7,16,0,61,132,0.462,0.515,19,21,0.905,20,12,155,16,0.549,7.9,7.8,16.8,-0.1,15,8,7,371,287,309,17,1,4,27,39,22,5.9,7.7,2.08
"111","Rodney McGruder","SG",25,"MIA",27,15,2.2,5.6,0.388,0.464,0.8,1.1,0.724,1.3,0.7,0.3,0.8,6,27,15,59,152,0.388,0.464,21,29,0.724,36,21,162,27,0.492,7.5,11.3,11.9,0.3,27,9,18,691,471,452,36,1,7,76,85,44,7.6,9.3,2.98
"112","Patty Mills","PG",28,"SAS",29,4,3.9,8.2,0.473,0.596,1.2,1.3,0.946,3.5,0.8,0,1.3,11,29,4,113,239,0.473,0.596,35,37,0.946,101,38,320,29,0.627,24.3,13,20.1,0.8,29,23,6,664,1195,1347,101,2,26,185,223,129,8.5,10.8,4.79
"113","Paul Millsap","PF",31,"ATL",26,26,6.6,14,0.47,0.508,3.3,4.4,0.754,3.7,1.7,0.9,2.2,17.5,26,26,171,364,0.47,0.508,86,114,0.754,97,58,456,26,0.551,18.3,12.3,23.6,1.2,25,13,12,840,1157,1163,93,7,14,202,225,113,8,9.8,2.91
"114","Nikola Mirotic","PF",25,"CHI",26,2,3,7.7,0.388,0.48,1.5,2,0.736,1,0.7,0.8,1.2,8.9,26,2,78,201,0.388,0.48,39,53,0.736,25,31,232,26,0.517,6.5,12.1,19,0.2,25,13,12,556,898,668,22,2,10,43,55,35,2.4,3.9,3.72
"115","E'Twaun Moore","SG",27,"NOP",27,20,4.1,9.3,0.444,0.5,0.8,1,0.75,2.8,0.7,0.3,1.1,10,27,20,111,250,0.444,0.5,21,28,0.75,76,30,271,27,0.517,18.1,10.3,19.1,0,27,9,18,678,623,782,76,8,7,132,184,90,12.2,14.4,2.61
"116","Marcus Morris","SF",27,"DET",31,31,5.3,12.3,0.428,0.49,1.5,1.8,0.807,1.7,0.7,0.3,1.2,13.5,31,31,163,381,0.428,0.49,46,57,0.807,54,37,419,31,0.516,8.5,8.4,20.2,0.5,30,14,16,965,1006,914,52,8,8,102,117,68,5.2,6.8,2.52
"117","Markieff Morris","PF",27,"WAS",27,27,4.7,11.3,0.416,0.444,2.7,3.4,0.804,1.9,1.2,0.6,1.9,12.8,27,27,127,305,0.416,0.444,74,92,0.804,50,51,345,27,0.499,8.6,12.9,20.3,0,27,12,15,856,813,784,50,6,14,91,121,71,6.2,8.7,2.32
"118","Timofey Mozgov","C",30,"LAL",31,31,3.4,6.4,0.528,0.528,1.3,1.6,0.796,0.9,0.3,0.5,1.4,8,31,31,105,199,0.528,0.528,39,49,0.796,27,42,249,31,0.564,6.3,16,17,-0.1,31,10,21,657,637,528,27,0,7,62,65,34,4.2,5.3,2.69
"119","Emmanuel Mudiay","PG",20,"DEN",28,28,4.5,12.2,0.368,0.417,2.6,3.4,0.779,3.8,0.8,0.3,2.8,12.8,28,28,126,342,0.368,0.417,74,95,0.779,106,79,359,28,0.468,19.4,17.1,23.5,-0.4,28,12,16,830,1428,1709,106,14,36,206,242,156,7.4,10.9,3.61
"120","Jamal Murray","SG",19,"DEN",29,3,3.2,8.6,0.378,0.468,1.2,1.4,0.81,2,0.4,0.3,1.4,9.2,29,3,94,249,0.378,0.468,34,42,0.81,59,40,267,29,0.499,14.2,13,20.6,-0.1,29,12,17,628,587,724,59,4,13,108,140,76,10.1,12.9,2.3
"121","Mike Muscala","C",25,"ATL",29,3,3.3,6.1,0.537,0.602,1,1.3,0.757,1.6,0.5,0.7,1.1,8.3,29,3,95,177,0.537,0.602,28,37,0.757,46,32,241,29,0.623,11.3,14.2,15.7,0.5,28,13,15,607,781,609,41,6,16,80,103,62,5.2,7.9,3.89
"122","Larry Nance Jr.","PF",24,"LAL",28,0,3.1,5.3,0.584,0.591,0.7,1,0.704,1.3,1.2,0.6,0.8,7,28,0,87,149,0.584,0.591,19,27,0.704,37,22,195,28,0.606,8.8,12,12.4,0.6,28,11,17,627,806,541,37,5,12,68,84,54,4.6,6.7,4.84
"123","Jameer Nelson","PG",34,"DEN",29,6,3.6,8.2,0.439,0.513,0.6,0.8,0.727,4.3,0.7,0.1,2,9,29,6,105,239,0.439,0.513,16,22,0.727,124,57,261,29,0.525,25,18.6,17.3,-0.1,29,12,17,742,1218,1373,124,8,29,256,309,161,10.2,13.2,4.92
"124","Joakim Noah","C",31,"NYK",25,25,2,4.4,0.468,0.468,0.6,1.7,0.381,2.5,0.7,0.8,1.2,4.7,25,25,51,109,0.468,0.468,16,42,0.381,63,31,118,25,0.463,16.1,19.6,12.6,0.6,25,12,13,539,964,572,63,7,12,107,148,82,6.5,8.5,6.83
"125","Jusuf Nurkic","C",22,"DEN",27,25,4,7.7,0.524,0.524,1.3,2.5,0.5,1.4,0.6,1,2.3,9.3,27,25,109,208,0.524,0.524,34,68,0.5,37,62,252,27,0.53,11.2,20.7,23.2,0.2,27,11,16,544,873,699,37,6,8,74,86,50,4.2,5.7,3.18
"126","Jahlil Okafor","C",21,"PHI",24,11,4.8,9.3,0.513,0.513,1.8,2.9,0.609,1,0.4,1.2,1.4,11.3,24,11,115,224,0.513,0.513,42,69,0.609,25,34,272,24,0.535,8.3,11.8,23.1,-0.1,24,6,18,554,714,707,25,2,7,64,63,34,3.5,4.8,2.72
"127","Victor Oladipo","SG",24,"OKC",24,24,6.3,13.9,0.455,0.531,1.3,2.1,0.62,2.8,0.9,0.3,1.8,16.1,24,24,152,334,0.455,0.531,31,50,0.62,66,42,386,24,0.542,12.7,10.6,20.7,0.1,24,15,9,822,776,930,66,8,9,120,162,83,8.5,10.7,2.27
"128","Kelly Olynyk","C",25,"BOS",23,5,2.9,6.6,0.437,0.52,1.3,1.7,0.775,1.7,1,0.3,1.3,8.2,23,5,66,151,0.437,0.52,31,40,0.775,38,30,188,23,0.558,11.9,15.1,18.4,0.2,23,14,9,483,779,679,38,4,6,81,95,48,4.9,6.2,4.36
"129","Jabari Parker","PF",21,"MIL",27,27,7.9,16.2,0.486,0.524,3.1,4.3,0.73,2.1,1.1,0.2,1.4,20.1,27,27,213,438,0.486,0.524,84,115,0.73,58,37,543,27,0.556,11.5,7,26.4,0.5,26,12,14,852,958,971,54,11,13,125,139,78,5.6,8.1,2.09
"130","Tony Parker","PG",34,"SAS",21,21,3.9,8.9,0.441,0.462,1.4,1.6,0.853,4.3,0.4,0,1.4,9.6,21,21,82,186,0.441,0.462,29,34,0.853,91,30,201,21,0.5,26.7,13,19.8,-0.2,21,17,4,532,1049,1157,91,5,26,191,210,122,8.7,11.6,5.48
"131","Patrick Patterson","PF",27,"TOR",27,0,2.6,6.9,0.373,0.492,0.8,1.1,0.71,1.7,1,0.3,0.6,7.6,27,0,69,185,0.373,0.492,22,31,0.71,47,17,204,27,0.513,8,7.9,12.4,0.9,26,19,7,739,958,684,45,3,16,70,119,65,4.7,6.8,4.84
"132","Chris Paul","PG",31,"LAC",30,30,5.9,12.7,0.463,0.543,3.9,4.4,0.872,9.6,2.2,0.2,2.3,17.6,30,30,176,380,0.463,0.543,116,133,0.872,288,69,529,30,0.603,48.4,13.6,23.9,2.9,30,22,8,944,2011,2209,288,30,44,507,666,363,14.3,18.1,5.05
"133","Elfrid Payton","PG",22,"ORL",31,16,4.6,10.3,0.451,0.476,1.5,2.4,0.613,5.6,1.2,0.6,2,11.3,31,16,144,319,0.451,0.476,46,75,0.613,173,62,350,31,0.497,32,15,20.8,0.5,31,13,18,892,1602,1852,173,23,42,378,403,238,10.8,14.9,4.88
"134","Mason Plumlee","C",26,"POR",31,31,4.5,8.1,0.56,0.56,1.9,3.7,0.509,4.4,0.9,1.1,1.7,11,31,31,141,252,0.56,0.56,58,114,0.509,135,52,340,31,0.563,23.9,14.7,17.9,1,31,13,18,863,1217,1033,135,17,15,256,320,167,11.1,13.7,4.2
"135","Otto Porter","SF",23,"WAS",28,28,5.4,10.2,0.53,0.602,1.1,1.4,0.795,1.4,1.7,0.6,0.8,13.4,28,28,151,285,0.53,0.602,31,39,0.795,40,23,374,28,0.619,6.3,7.1,15.1,1.3,28,13,15,947,968,707,40,4,9,93,93,53,4.1,5.5,3.29
"136","Kristaps Porzingis","PF",21,"NYK",29,29,7.2,16,0.452,0.518,3.3,4.2,0.785,1.3,0.7,1.8,1.6,19.9,29,29,210,465,0.452,0.518,95,121,0.785,38,45,577,29,0.557,6.3,8,24.3,0.7,29,16,13,995,1206,1188,38,5,15,73,100,58,3.2,4.8,2.3
"137","Dwight Powell","C",25,"DAL",29,1,2.9,5.8,0.509,0.515,1.6,2.1,0.783,0.9,1.2,0.6,0.5,7.6,29,1,85,167,0.509,0.515,47,60,0.783,26,14,219,29,0.566,7.2,6.8,15.9,0.7,29,8,21,619,719,481,26,1,5,62,68,32,3.6,4.5,3.79
"138","Julius Randle","PF",22,"LAL",28,28,5.2,10.5,0.495,0.5,2.4,3.5,0.68,3.4,0.7,0.5,2.9,12.8,28,28,145,293,0.495,0.5,66,97,0.68,94,81,359,28,0.535,18.6,19.4,22,0.2,28,10,18,804,1166,990,94,11,15,198,250,120,8.1,10.3,3.31
"139","Zach Randolph","PF",35,"MEM",24,1,5.5,12.6,0.432,0.441,1.7,2.3,0.727,1.5,0.5,0.2,1,12.8,24,1,131,303,0.432,0.441,40,55,0.727,37,25,307,24,0.469,14.8,7.1,29.8,0,23,15,8,512,671,683,36,4,7,74,89,47,5.4,7,2.14
"140","Josh Richardson","SG",23,"MIA",20,12,4,10.4,0.38,0.457,0.8,1.1,0.727,2.2,0.7,0.5,1.3,10.3,20,12,79,208,0.38,0.457,16,22,0.727,44,26,206,20,0.473,11.4,10.7,18.2,0,20,6,14,595,724,787,44,5,8,107,109,57,6.1,7.9,3.44
"141","Austin Rivers","SG",24,"LAC",29,3,3.3,7.6,0.441,0.523,1.2,1.8,0.642,2.1,0.7,0.1,0.9,9.1,29,3,97,220,0.441,0.523,34,53,0.642,61,25,264,29,0.542,13.2,9.3,17.4,0.2,29,21,8,685,786,924,61,3,20,123,150,82,7.8,10.4,3.46
"142","Andre Roberson","SF",25,"OKC",29,29,3,6.6,0.453,0.521,0.4,1.3,0.316,1,1.3,1,0.7,7.2,29,29,86,190,0.453,0.521,12,38,0.316,30,20,210,29,0.508,4.5,8.8,10.6,0.4,29,17,12,915,751,573,30,3,7,70,75,40,4,5.3,3.65
"143","Glenn Robinson","SF",23,"IND",29,12,2.2,5.5,0.4,0.456,0.9,1.1,0.758,0.7,0.5,0.3,0.6,5.9,29,12,64,160,0.4,0.456,25,33,0.758,20,18,171,29,0.49,4.6,9.3,13.5,-0.2,29,14,15,627,487,448,20,0,7,37,50,27,4.1,5.5,2.76
"144","Sergio Rodriguez","PG",30,"PHI",27,26,3.5,9.2,0.382,0.462,0.3,0.4,0.8,6.3,1,0.1,2.4,8.8,27,26,95,249,0.382,0.462,8,10,0.8,171,66,238,27,0.47,37.4,20.7,19.2,-0.2,27,6,21,737,1794,1954,171,17,34,356,406,222,9.5,12.4,6.84
"145","Rajon Rondo","PG",30,"CHI",24,24,3.4,8.8,0.384,0.419,0.5,1,0.542,7.3,1.4,0.3,2.8,7.9,24,24,81,211,0.384,0.419,13,24,0.542,176,68,190,24,0.429,34.6,23.5,16.9,0.3,23,11,12,717,1617,1559,172,17,26,320,382,215,10.6,13.3,6.78
"146","Derrick Rose","PG",28,"NYK",25,25,6.7,14.6,0.458,0.47,3.1,3.6,0.846,4.4,0.6,0.5,2.4,16.8,25,25,167,365,0.458,0.47,77,91,0.846,111,60,420,25,0.518,23.6,12.9,25.8,0.1,25,15,10,775,1390,1676,111,7,33,228,276,151,8,10.9,3.55
"147","Ricky Rubio","PG",26,"MIN",23,23,2.1,5.7,0.366,0.42,2.3,2.7,0.841,6.9,1.5,0.1,2.1,7.1,23,23,48,131,0.366,0.42,53,63,0.841,159,49,163,23,0.513,30.3,23.6,12.5,0.3,23,7,16,725,1470,1490,159,14,39,305,364,212,10.8,14.4,8.73
"148","D'Angelo Russell","PG",20,"LAL",19,19,5.3,13.1,0.403,0.494,2.2,2.8,0.778,4.6,1.2,0.4,3.1,15.1,19,19,100,248,0.403,0.494,42,54,0.778,88,59,287,19,0.528,29.5,17.8,28.5,0.2,19,8,11,492,871,1032,88,7,15,181,222,110,10.1,12.6,3.23
"149","Domantas Sabonis","PF",20,"OKC",29,29,2.5,5.8,0.435,0.518,0.1,0.2,0.5,1.3,0.6,0.4,1.1,6.1,29,29,73,168,0.435,0.518,3,6,0.5,37,33,177,29,0.519,8.8,16.2,14.5,-0.2,29,17,12,603,798,627,37,3,6,67,93,45,4.6,5.6,4.28
"150","Dario Saric","PF",22,"PHI",28,10,3.3,8.7,0.381,0.453,1.3,1.6,0.778,1.7,0.4,0.2,1.9,9.1,28,10,93,244,0.381,0.453,35,45,0.778,47,54,256,28,0.485,11.6,17,21.2,-0.4,28,7,21,664,1060,965,47,6,15,94,117,68,4.4,6.4,3.68
"151","Dennis Schroder","PG",23,"ATL",29,29,6.7,14.3,0.464,0.511,2.6,3.2,0.815,6.3,0.8,0.2,3.1,17.2,29,29,193,416,0.464,0.511,75,92,0.815,184,91,500,29,0.548,34.8,16.6,26.7,0.2,28,13,15,864,1566,1937,178,16,49,363,420,245,11.4,15.6,3.61
"152","Thabo Sefolosha","SF",32,"ATL",26,11,3.2,6.7,0.48,0.517,0.8,1.2,0.733,1.8,2,0.4,1.1,7.7,26,11,83,173,0.48,0.517,22,30,0.733,47,29,201,26,0.54,10.1,13.5,13.8,0.7,25,12,13,653,732,626,46,7,17,86,119,70,6.3,9.6,3.88
"153","Iman Shumpert","SG",26,"CLE",26,1,2.4,5.3,0.46,0.584,1,1.2,0.813,1.9,0.9,0.3,1.4,7.2,26,1,63,137,0.46,0.584,26,32,0.813,49,37,186,26,0.616,11.5,19.7,13.8,0.5,26,20,6,603,567,584,49,6,11,88,121,66,8.6,11.6,3.54
"154","Marcus Smart","PG",22,"BOS",26,9,3.3,9.3,0.36,0.421,1.6,2.3,0.683,4.2,1.2,0.3,1.9,9.4,26,9,87,242,0.36,0.421,41,60,0.683,109,49,245,26,0.456,20.5,15.4,18.2,0.1,26,15,11,779,1059,1115,109,5,26,205,265,141,10.3,13.3,4.06
"155","Ish Smith","PG",28,"DET",31,21,3.9,9.4,0.414,0.43,1.1,1.5,0.733,5.8,0.7,0.3,1.4,9.2,31,21,121,292,0.414,0.43,33,45,0.733,180,44,284,31,0.455,33.1,12.4,19.4,0.2,30,14,16,801,1639,1796,173,9,27,324,409,209,10.6,12.8,5.59
"156","Tony Snell","SF",25,"MIL",26,26,3,7.6,0.401,0.503,0.5,0.7,0.778,1.3,0.3,0.2,0.7,8.2,26,26,79,197,0.401,0.503,14,18,0.778,34,17,212,26,0.517,6.3,7.7,12.9,0,25,12,13,746,478,496,34,5,7,64,81,46,7.1,9.6,2.47
"157","Nik Stauskas","SG",23,"PHI",27,3,3.1,7.1,0.445,0.56,1.6,2.1,0.768,1.9,0.4,0.4,1.6,9.5,27,3,85,191,0.445,0.56,43,56,0.768,51,43,257,27,0.596,11.6,16.6,16.3,0,27,6,21,701,787,730,51,5,6,105,122,62,6.5,7.9,3.47
"158","Rodney Stuckey","PG",30,"IND",16,0,3.2,7.3,0.44,0.474,2.6,3.6,0.737,2.2,0.4,0,1.7,9.5,16,0,51,116,0.44,0.474,42,57,0.737,35,27,152,16,0.539,15.9,16.1,21.8,-0.2,16,8,8,339,445,483,35,2,11,75,87,48,7.9,10.8,3.16
"159","Jeff Teague","PG",28,"IND",31,31,5.2,12,0.43,0.468,4.7,5.5,0.843,7.3,1.8,0.5,2.6,15.9,31,31,160,372,0.43,0.468,145,172,0.843,226,80,493,31,0.551,35.3,15.2,23.3,1.2,31,15,16,998,1726,2037,226,18,45,457,530,289,13.1,16.7,4.22
"160","Garrett Temple","SG",30,"SAC",29,3,2.4,5.6,0.436,0.549,0.9,1.1,0.839,2.1,1,0.5,1,7.1,29,3,71,163,0.436,0.549,26,31,0.839,61,28,205,29,0.58,13.3,13.7,13.3,0.5,29,12,17,689,803,824,61,1,9,116,134,70,7.6,8.7,4.53
"161","Isaiah Thomas","PG",27,"BOS",25,25,8.2,18.7,0.438,0.502,7.9,8.8,0.895,6.2,0.9,0.2,2.1,26.7,25,25,205,468,0.438,0.502,197,220,0.895,154,52,667,25,0.59,33.7,8.4,33.1,1.4,25,16,9,832,1506,1999,153,7,40,310,376,201,10.2,13.3,3.01
"162","Klay Thompson","SG",26,"GSW",30,30,8.2,17.4,0.472,0.556,2.1,2.4,0.889,2.1,0.8,0.3,1.8,21.4,30,30,246,521,0.472,0.556,64,72,0.889,63,54,643,30,0.582,9.5,8.9,25.8,0.3,30,26,4,1007,767,1123,63,5,29,110,145,97,8.2,12.6,1.49
"163","Tristan Thompson","C",25,"CLE",27,27,2.7,4.7,0.575,0.575,1.2,2.7,0.458,0.8,0.5,1.3,0.7,6.6,27,27,73,127,0.575,0.575,33,72,0.458,21,18,179,27,0.564,3.7,10.2,10,0.8,27,21,6,779,763,368,21,2,10,43,58,33,2.8,4.3,4.62
"164","Karl-Anthony Towns","C",21,"MIN",28,28,8.5,17.7,0.478,0.514,3.9,5,0.786,2.5,0.6,1.4,2.6,22.1,28,28,237,496,0.478,0.514,110,140,0.786,69,74,620,28,0.556,12.6,11.7,27.9,1,28,9,19,992,1401,1200,69,11,16,141,159,96,4.9,6.9,2.47
