"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"19","Malcolm Brogdon","SG",24,"MIL",27,0,2.9,6.8,0.418,0.486,1,1.2,0.848,3.1,1,0.1,1.3,7.7,27,0,77,184,0.418,0.486,28,33,0.848,84,36,207,27,0.521,21.4,15.4,18,0,26,12,14,567,976,1018,84,12,18,160,206,114,8.6,11.7,4.92
"20","Jimmy Butler","SF",27,"CHI",28,28,7.5,16.5,0.452,0.486,8.4,9.4,0.89,4.3,1.7,0.3,2.1,24.4,28,28,209,462,0.452,0.486,234,263,0.89,120,58,683,28,0.591,20.2,9.1,27.2,2.2,27,13,14,986,1123,1423,118,7,21,254,273,147,10.5,13.1,2.2
"21","Kentavious Caldwell-Pope","SG",23,"DET",30,30,5.1,12.5,0.411,0.493,1.9,2.3,0.826,2.9,1.1,0.1,1.1,14.2,30,30,154,375,0.411,0.493,57,69,0.826,88,34,427,30,0.527,13.8,7.7,20.2,1.1,29,14,15,954,722,947,86,4,12,161,203,102,11.9,14.1,2.04
"22","Clint Capela","C",22,"HOU",28,28,5.4,8.4,0.64,0.64,1,2.3,0.446,0.9,0.4,1.6,1.3,11.8,28,28,151,236,0.64,0.64,29,65,0.446,26,37,331,28,0.625,6.1,12.3,18.9,0.5,28,21,7,686,968,655,26,0,17,55,71,43,2.7,4.4,3.45
"23","DeMarre Carroll","SF",30,"TOR",23,23,3.6,8.1,0.444,0.551,1.2,1.7,0.7,1,1.1,0.4,0.5,10.2,23,23,83,187,0.444,0.551,28,40,0.7,23,11,234,23,0.572,5.5,5.1,16.2,0.7,21,16,5,547,400,388,22,4,8,44,52,34,5.5,8.5,2.1
"24","Vince Carter","SG",40,"MEM",24,0,2.8,7.4,0.384,0.472,1.2,1.6,0.737,1.8,0.8,0.3,0.8,8.1,24,0,68,177,0.384,0.472,28,38,0.737,43,18,195,24,0.503,12.5,8.5,16.5,0.3,23,13,10,563,593,516,42,2,12,67,94,56,7.1,9.4,3.17
"25","Omri Casspi","SF",28,"SAC",16,2,2.9,6.2,0.475,0.525,0.6,0.9,0.6,1.4,0.4,0.1,1,7.1,16,2,47,99,0.475,0.525,9,15,0.6,22,16,113,16,0.535,10.9,13.2,16.8,-0.1,16,6,10,323,433,332,22,1,7,37,54,30,5.1,6.9,3.92
"26","Wilson Chandler","SF",29,"DEN",26,6,6.6,14.7,0.446,0.5,2.1,2.8,0.743,1.9,0.8,0.2,1.5,16.8,26,6,171,383,0.446,0.5,55,74,0.743,49,40,438,26,0.527,10.2,8.8,23.8,0.2,26,11,15,806,812,846,49,2,14,105,127,65,6,8,2.04
"27","Jordan Clarkson","SG",24,"LAL",32,3,5.7,13.1,0.438,0.488,1.8,2.1,0.836,2.3,1.3,0.1,2,14.5,32,3,183,418,0.438,0.488,56,67,0.836,74,63,464,32,0.518,13.3,12.3,23.7,-0.1,32,11,21,913,790,1081,74,7,9,151,172,90,9.4,11.4,1.86
"28","Darren Collison","PG",29,"SAC",21,17,4.4,9.9,0.449,0.5,2.7,3.2,0.824,4.3,1,0,1.9,12.5,21,17,93,207,0.449,0.5,56,68,0.824,91,40,263,21,0.555,23.4,14.4,19.8,0,21,9,12,627,1141,1309,91,10,28,207,224,130,8,11.4,4.97
