Player,Tm,GP,W,L,Min,PassesMade,PassesReceived,Ast,FTAst,SecondaryAst,PotentialAst,AstPtsCreated,AstAdj,AstToPassRatio,AstToPassRatioAdj
Doug McDermott,CHI,15,8,7,371,287,309,17,1,4,27,39,22,5.9,7.7
Marcelo Huertas,LAL,13,3,10,150,285,284,37,4,2,64,83,43,13,15.1
Tyler Ulis,PHX,17,2,15,159,282,320,27,2,7,59,69,36,9.6,12.8
Patrick McCaw,GSW,25,22,3,317,280,305,26,0,9,51,60,36,9.3,12.9
Tyler Ennis,HOU,17,11,6,130,277,301,24,0,2,49,57,25,8.7,9
Mindaugas Kuzminskas,NYK,24,12,12,265,275,247,21,0,4,35,49,25,7.6,9.1
Jeremy Lamb,CHA,18,10,8,283,274,273,16,3,4,36,38,23,5.8,8.4
Jeff Withey,UTA,23,14,9,219,269,166,2,0,2,10,5,4,0.7,1.5
Jason Terry,MIL,22,10,12,360,267,283,29,1,4,47,69,34,10.9,12.7
Mike Dunleavy,CLE,20,17,3,313,262,267,18,0,7,39,49,26,6.9,9.9
Norman Powell,TOR,22,17,5,321,257,289,22,1,5,41,55,28,8.6,10.9
Terrence Ross,TOR,25,18,7,498,257,353,15,1,3,29,35,19,5.8,7.4
Willie Cauley-Stein,SAC,25,10,15,318,256,226,9,1,4,22,21,14,3.5,5.5
Dragan Bender,PHX,23,5,18,252,246,194,7,1,4,8,16,12,2.8,4.9
Devin Harris,DAL,13,5,8,187,244,247,18,2,2,37,40,22,7.4,9
Alex Abrines,OKC,22,11,11,282,241,262,9,3,3,20,24,15,3.7,6.2
Lance Stephenson,NOP,6,0,6,162,237,270,29,0,4,68,69,33,12.2,13.9
Anthony Bennett,BKN,18,3,15,196,235,161,7,0,3,17,18,10,3,4.3
Darrell Arthur,DEN,13,5,8,179,229,180,15,1,2,23,38,18,6.6,7.9
Yogi Ferrell,BKN,10,1,9,151,223,262,17,3,2,41,49,22,7.6,9.9
Roy Hibbert,CHA,23,12,11,358,221,198,15,1,1,27,36,18,6.8,8.1
Denzel Valentine,CHI,19,9,10,223,215,220,10,0,7,24,25,17,4.7,7.9
