Player,useless,Tm,tG,tGS,tFG,tFGA,tFG%,teFG%,tFT,tFTA,tFT%,tAST,tTOV,tPTS
P.J. Tucker,tuckepj01,PHO,29,13,63,167,.377,.437,31,43,.721,32,25,177
Evan Turner,turneev01,POR,29,1,104,246,.423,.453,44,51,.863,87,36,267
Myles Turner,turnemy01,IND,30,30,171,321,.533,.561,99,124,.798,30,43,459
Beno Udrih,udrihbe01,DET,24,0,63,135,.467,.500,22,24,.917,78,19,157
Tyler Ulis,ulisty01,PHO,17,0,21,51,.412,.422,11,14,.786,27,13,54
Jonas Valanciunas,valanjo01,TOR,26,26,129,241,.535,.535,63,75,.840,21,40,321
Denzel Valentine,valende01,CHI,20,0,17,63,.270,.357,7,8,.875,10,8,52
Fred VanVleet,vanvlfr01,TOR,8,0,5,13,.385,.423,0,0,,7,1,11
Anderson Varejao,varejan01,GSW,9,1,2,8,.250,.250,7,8,.875,7,6,11
Greivis Vasquez,vasqugr01,BRK,3,0,2,8,.250,.313,2,3,.667,5,1,7
Rashad Vaughn,vaughra01,MIL,14,0,24,62,.387,.500,0,0,,4,4,62
Noah Vonleh,vonleno01,POR,24,4,28,71,.394,.437,12,17,.706,4,20,74
Nikola Vucevic,vucevni01,ORL,28,16,159,361,.440,.450,34,56,.607,74,38,359
Sasha Vujacic,vujacsa01,NYK,18,0,11,32,.344,.422,3,4,.750,14,9,30
Dwyane Wade,wadedw01,CHI,26,26,185,418,.443,.472,106,132,.803,94,57,501
Dion Waiters,waitedi01,MIA,16,16,88,229,.384,.430,30,46,.652,63,35,227
Kemba Walker,walkeke02,CHO,28,28,227,493,.460,.538,104,131,.794,154,61,634
John Wall,walljo01,WAS,26,26,221,480,.460,.494,142,176,.807,251,113,616
Taurean Waller-Prince,princta02,ATL,18,0,23,58,.397,.457,11,12,.917,12,13,64
T.J. Warren,warretj01,PHO,16,13,103,226,.456,.476,36,44,.818,14,13,251
C.J. Watson,watsocj01,ORL,21,0,14,49,.286,.367,13,16,.813,22,6,49
David West,westda01,GSW,30,0,52,96,.542,.552,18,26,.692,54,36,124
Russell Westbrook,westbru01,OKC,29,29,300,702,.427,.465,255,311,.820,312,159,908
Isaiah Whitehead,whiteis01,BRK,22,16,58,141,.411,.450,22,28,.786,68,48,149
Hassan Whiteside,whiteha01,MIA,30,30,230,415,.554,.554,87,160,.544,19,59,547
Andrew Wiggins,wiggian01,MIN,28,28,219,497,.441,.479,138,181,.762,66,69,614
C.J. Wilcox,wilcocj01,ORL,10,0,3,12,.250,.333,2,2,1.000,7,3,10
Alan Williams,willial03,PHO,12,0,18,32,.563,.563,7,16,.438,1,8,43
Deron Williams,willide01,DAL,21,21,105,255,.412,.475,50,54,.926,138,45,292
Derrick Williams,willide02,MIA,16,9,40,101,.396,.421,23,38,.605,6,7,108
Lou Williams,willilo02,LAL,32,0,187,420,.445,.520,173,199,.869,108,71,610
Marvin Williams,willima02,CHO,23,23,86,224,.384,.478,25,32,.781,30,15,239
Reggie Williams,willire02,NOP,5,0,7,20,.350,.475,6,7,.857,4,0,25
Troy Williams,willitr02,MEM,24,13,51,122,.418,.459,15,25,.600,19,27,127
Kyle Wiltjer,wiltjky01,HOU,6,0,3,6,.500,.750,1,2,.500,0,2,10
Justise Winslow,winslju01,MIA,14,11,67,179,.374,.394,24,40,.600,47,25,165
Jeff Withey,witheje01,UTA,23,0,23,41,.561,.561,16,21,.762,2,8,62
