Player,useless,Tm,tG,tGS,tFG,tFGA,tFG%,teFG%,tFT,tFTA,tFT%,tAST,tTOV,tPTS
Channing Frye,fryech01,CLE,20,1,67,149,.450,.601,18,19,.947,15,11,197
Danilo Gallinari,gallida01,DEN,26,26,121,294,.412,.493,137,157,.873,57,36,427
Langston Galloway,gallola01,NOP,30,0,106,273,.388,.491,20,27,.741,45,21,288
Marc Gasol,gasolma01,MEM,29,29,215,473,.455,.503,108,132,.818,120,59,584
Pau Gasol,gasolpa01,SAS,28,28,141,279,.505,.534,42,65,.646,76,36,340
Rudy Gay,gayru01,SAC,23,23,153,336,.455,.499,92,109,.844,68,51,427
Michael Gbinije,gbinimi01,DET,7,0,1,9,.111,.111,2,2,1.000,2,0,4
Alonzo Gee,geeal01,DEN,12,0,3,13,.231,.231,5,9,.556,6,2,11
Paul George,georgpa01,IND,24,24,184,416,.442,.507,98,107,.916,76,73,520
Jonathan Gibson,gibsojo01,DAL,16,0,35,95,.368,.447,21,29,.724,26,21,106
Taj Gibson,gibsota01,CHI,28,28,155,277,.560,.560,38,58,.655,39,45,348
Manu Ginobili,ginobma01,SAS,24,0,62,161,.385,.484,32,38,.842,61,37,188
Rudy Gobert,goberru01,UTA,30,30,129,185,.697,.697,115,171,.673,26,49,373
Archie Goodwin,goodwar01,NOP,3,0,2,5,.400,.500,10,10,1.000,1,0,15
Aaron Gordon,gordoaa01,ORL,31,23,127,299,.425,.473,36,61,.590,53,33,319
Eric Gordon,gordoer01,HOU,30,8,180,411,.438,.574,56,69,.812,84,55,528
Marcin Gortat,gortama01,WAS,28,28,142,245,.580,.580,37,62,.597,45,45,321
Treveon Graham,grahatr01,CHO,6,1,5,8,.625,.813,2,2,1.000,2,1,15
Jerami Grant,grantje01,TOT,28,2,65,137,.474,.536,35,65,.538,12,16,182
Jerami Grant,grantje01,PHI,2,0,6,17,.353,.353,4,8,.500,0,3,16
Jerami Grant,grantje01,OKC,26,2,59,120,.492,.563,31,57,.544,12,13,166
Jerian Grant,grantje02,CHI,20,4,30,86,.349,.390,13,13,1.000,23,9,80
Danny Green,greenda02,SAS,21,21,55,117,.470,.637,9,12,.750,41,18,158
Draymond Green,greendr01,GSW,28,28,107,250,.428,.496,50,76,.658,202,55,298
Gerald Green,greenge01,BOS,13,0,17,57,.298,.368,6,8,.750,16,8,48
JaMychal Green,greenja01,MEM,31,31,100,229,.437,.474,60,75,.800,39,41,277
Jeff Green,greenje02,ORL,30,8,97,250,.388,.442,62,72,.861,41,36,283
Blake Griffin,griffbl01,LAC,26,26,206,429,.480,.486,134,179,.749,123,63,551
Justin Hamilton,hamilju01,BRK,23,2,56,133,.421,.515,12,18,.667,22,18,149
A.J. Hammons,hammoaj01,DAL,15,0,8,21,.381,.476,2,10,.200,2,3,22
Tim Hardaway,hardati02,ATL,29,5,123,280,.439,.514,41,63,.651,49,28,329
James Harden,hardeja01,HOU,30,30,243,556,.437,.519,256,305,.839,352,161,833
Maurice Harkless,harklma01,POR,30,30,149,306,.487,.551,34,43,.791,26,37,371
Montrezl Harrell,harremo01,HOU,21,1,68,107,.636,.640,10,20,.500,16,20,147
Devin Harris,harride01,DAL,13,0,15,45,.333,.411,7,8,.875,18,9,44
Gary Harris,harriga01,DEN,9,8,44,85,.518,.588,15,23,.652,25,10,115
Joe Harris,harrijo01,BRK,28,0,98,219,.447,.564,28,37,.757,35,35,275
Tobias Harris,harrito02,DET,31,31,190,402,.473,.517,67,75,.893,54,45,483
Aaron Harrison,harriaa01,CHO,4,0,0,4,.000,.000,1,2,.500,2,0,1
Andrew Harrison,harrian01,MEM,30,12,56,198,.283,.333,76,97,.784,107,49,208
Udonis Haslem,hasleud01,MIA,8,0,2,8,.250,.250,2,4,.500,1,0,6
Spencer Hawes,hawessp01,CHO,22,0,61,131,.466,.496,14,18,.778,36,26,144
Gordon Hayward,haywago01,UTA,23,23,162,369,.439,.495,140,161,.870,86,51,505
Gerald Henderson,hendege02,PHI,27,27,97,212,.458,.514,37,45,.822,43,26,255
John Henson,hensojo01,MIL,25,18,74,148,.500,.500,40,57,.702,27,28,188
Juan Hernangomez,hernaju01,DEN,22,1,24,55,.436,.536,20,31,.645,10,7,79
Willy Hernangomez,hernawi01,NYK,24,0,63,109,.578,.587,22,30,.733,20,30,150
Mario Hezonja,hezonma01,ORL,19,0,26,79,.329,.367,7,10,.700,10,16,65
Roy Hibbert,hibbero01,CHO,23,5,42,88,.477,.477,41,54,.759,15,16,125
Buddy Hield,hieldbu01,NOP,31,11,99,258,.384,.467,15,17,.882,37,28,256
Nene Hilario,hilarne01,HOU,25,1,73,128,.570,.578,37,61,.607,20,33,185
George Hill,hillge01,UTA,11,11,78,146,.534,.623,38,43,.884,46,15,220
Jordan Hill,hilljo01,MIN,3,0,2,3,.667,.667,2,2,1.000,0,2,6
Solomon Hill,hillso01,NOP,29,21,52,139,.374,.457,38,46,.826,55,28,165
Darrun Hilliard,hillida01,DET,19,1,28,72,.389,.451,12,16,.750,17,17,77
Jrue Holiday,holidjr01,NOP,16,10,92,213,.432,.484,33,49,.673,103,39,239
Justin Holiday,holidju01,NYK,29,2,71,170,.418,.500,25,30,.833,33,21,195
Rondae Hollis-Jefferson,holliro01,BRK,25,14,63,163,.387,.411,54,73,.740,55,32,188
Richaun Holmes,holmeri01,PHI,21,2,60,117,.513,.543,18,29,.621,18,18,145
Rodney Hood,hoodro01,UTA,25,25,139,325,.428,.508,49,64,.766,50,29,379
Al Horford,horfoal01,BOS,19,19,114,247,.462,.510,39,47,.830,96,29,291
Danuel House,houseda01,WAS,1,0,0,0,,,0,0,,0,0,0
Dwight Howard,howardw01,ATL,26,26,146,231,.632,.632,77,147,.524,31,65,369
Marcelo Huertas,huertma01,LAL,13,1,15,38,.395,.421,5,10,.500,37,15,37
Kris Humphries,humphkr01,ATL,20,0,26,67,.388,.433,18,21,.857,9,13,76
R.J. Hunter,hunterj01,CHI,3,0,0,1,.000,.000,0,0,,0,0,0
Serge Ibaka,ibakase01,ORL,31,31,188,384,.490,.549,48,58,.828,31,35,470
Andre Iguodala,iguodan01,GSW,29,0,67,147,.456,.534,13,23,.565,97,19,170
Ersan Ilyasova,ilyaser01,TOT,28,14,137,300,.457,.543,48,59,.814,41,37,374
Ersan Ilyasova,ilyaser01,OKC,3,0,6,16,.375,.469,0,0,,1,4,15
Ersan Ilyasova,ilyaser01,PHI,25,14,131,284,.461,.548,48,59,.814,40,33,359
Joe Ingles,inglejo01,UTA,30,3,67,137,.489,.631,19,25,.760,56,26,192
Brandon Ingram,ingrabr01,LAL,32,9,86,247,.348,.387,49,71,.690,65,44,240
Kyrie Irving,irvinky01,CLE,25,25,224,466,.481,.546,97,110,.882,133,63,606
Demetrius Jackson,jacksde01,BOS,4,0,3,4,.750,.875,3,6,.500,3,0,10
Reggie Jackson,jacksre01,DET,10,10,49,123,.398,.451,28,33,.848,48,20,139
LeBron James,jamesle01,CLE,25,25,236,459,.514,.564,120,173,.694,221,96,638
Al Jefferson,jeffeal01,IND,31,1,111,233,.476,.476,27,39,.692,24,13,249
Richard Jefferson,jefferi01,CLE,27,4,49,112,.438,.531,14,19,.737,26,14,133
John Jenkins,jenkijo01,PHO,4,0,2,5,.400,.500,2,2,1.000,1,0,7
Brandon Jennings,jennibr01,NYK,29,4,77,205,.376,.444,50,63,.794,160,60,232
Jonas Jerebko,jerebjo01,BOS,29,1,54,116,.466,.552,9,11,.818,23,14,137
Amir Johnson,johnsam01,BOS,29,28,75,135,.556,.589,24,35,.686,50,24,183
James Johnson,johnsja01,MIA,26,0,105,208,.505,.572,38,53,.717,62,46,276
Joe Johnson,johnsjo02,UTA,30,8,100,230,.435,.517,27,33,.818,54,26,265
Stanley Johnson,johnsst04,DET,27,0,37,99,.374,.424,17,26,.654,25,16,101
Tyler Johnson,johnsty01,MIA,28,0,135,319,.423,.483,69,93,.742,90,32,377
Wesley Johnson,johnswe01,LAC,24,0,30,83,.361,.446,5,6,.833,11,11,79
Nikola Jokic,jokicni01,DEN,26,12,121,211,.573,.592,50,62,.806,84,38,300
Damian Jones,jonesda03,GSW,1,0,0,0,,,0,0,,0,2,0
Derrick Jones,jonesde02,PHO,2,0,1,1,1.000,1.000,1,1,1.000,0,0,3
James Jones,jonesja02,CLE,16,0,17,26,.654,.923,5,7,.714,2,4,53
Terrence Jones,joneste01,NOP,30,4,129,273,.473,.493,59,97,.608,34,32,328
Tyus Jones,jonesty01,MIN,18,0,20,47,.426,.532,14,15,.933,43,13,64
DeAndre Jordan,jordade01,LAC,30,30,135,203,.665,.665,82,149,.550,23,44,352
Cory Joseph,josepco01,TOR,27,0,94,207,.454,.488,39,50,.780,75,28,241
Frank Kaminsky,kaminfr01,CHO,27,6,103,268,.384,.446,35,53,.660,67,28,274
Enes Kanter,kanteen01,OKC,29,0,143,259,.552,.558,76,95,.800,21,39,365
Ryan Kelly,kellyry01,ATL,8,0,2,7,.286,.357,2,2,1.000,4,1,7
Michael Kidd-Gilchrist,kiddgmi01,CHO,28,28,91,209,.435,.438,64,86,.744,31,24,247
Sean Kilpatrick,kilpase01,BRK,28,18,141,329,.429,.494,112,135,.830,71,74,437
Brandon Knight,knighbr03,PHO,29,4,129,334,.386,.431,91,107,.850,83,57,379
Kyle Korver,korveky01,ATL,27,21,89,198,.449,.583,17,19,.895,60,38,248
Kosta Koufos,koufoko01,SAC,29,25,77,141,.546,.546,11,23,.478,16,28,165
Mindaugas Kuzminskas,kuzmimi01,NYK,24,0,36,91,.396,.489,12,16,.750,21,11,101
Skal Labissiere,labissk01,SAC,3,0,4,7,.571,.571,2,3,.667,0,1,10
Jeremy Lamb,lambje01,CHO,18,1,58,129,.450,.481,29,35,.829,16,14,153
Nicolas Laprovittola,laproni01,SAS,17,3,20,46,.435,.543,9,9,1.000,28,18,59
Joffrey Lauvergne,lauvejo01,OKC,25,0,58,126,.460,.524,10,21,.476,23,14,142
Zach LaVine,lavinza01,MIN,27,27,204,434,.470,.552,79,91,.868,85,53,558
Ty Lawson,lawsoty01,SAC,29,14,83,200,.415,.455,41,54,.759,128,49,223
Jake Layman,laymaja01,POR,17,0,15,47,.319,.404,7,9,.778,6,4,45
