Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Jordan Clarkson,clarkjo01,LAL,32,.518,13.3,12.3,23.7,-0.1
Darren Collison,collida01,SAC,21,.555,23.4,14.4,19.8,0.0
Nick Collison,collini01,OKC,9,.571,17.8,11.3,7.2,0.0
Mike Conley,conlemi01,MEM,21,.570,33.6,12.5,25.7,1.2
Pat Connaughton,connapa01,POR,12,.770,8.8,0.0,9.2,0.0
DeMarcus Cousins,couside01,SAC,28,.557,19.6,10.2,37.4,1.8
Robert Covington,covinro01,PHI,25,.479,6.8,14.4,18.6,0.3
Allen Crabbe,crabbal01,POR,31,.584,6.1,9.4,14.4,-0.1
Jamal Crawford,crawfja01,LAC,30,.528,12.8,11.4,22.1,-0.1
Jae Crowder,crowdja01,BOS,21,.625,11.8,11.1,17.2,0.7
Dante Cunningham,cunnida01,NOP,18,.500,3.6,10.0,12.1,0.0
Seth Curry,curryse01,DAL,25,.532,17.9,11.8,19.1,0.2
Stephen Curry,curryst01,GSW,30,.634,27.0,12.4,28.4,2.2
Troy Daniels,danietr01,MEM,20,.520,7.2,6.8,21.8,-0.1
Anthony Davis,davisan02,NOP,29,.573,11.6,8.6,33.7,1.8
Deyonta Davis,davisde01,MEM,21,.592,2.1,17.1,12.8,0.0
Ed Davis,davised01,POR,31,.553,4.3,18.3,11.3,0.0
Dewayne Dedmon,dedmode01,SAS,23,.590,4.0,11.9,13.7,0.3
Sam Dekker,dekkesa01,HOU,30,.573,9.0,11.3,15.5,0.3
Malcolm Delaney,delanma01,ATL,29,.467,25.3,19.7,20.0,-0.5
Matthew Dellavedova,dellama01,MIL,27,.478,27.9,19.1,15.8,-0.3
Luol Deng,denglu01,LAL,32,.474,8.0,8.7,15.0,0.1
DeMar DeRozan,derozde01,TOR,28,.567,20.6,9.6,34.4,0.8
Cheick Diallo,diallch01,NOP,6,.584,4.3,5.6,19.8,0.0
Boris Diaw,diawbo01,UTA,21,.520,18.2,25.4,14.1,-0.1
Gorgui Dieng,dienggo01,MIN,28,.559,10.1,16.4,15.1,0.8
Spencer Dinwiddie,dinwisp01,BRK,6,.453,13.7,26.6,19.5,-0.1
Toney Douglas,douglto01,MEM,6,.458,25.8,11.6,18.3,0.0
Goran Dragic,dragigo01,MIA,25,.551,33.4,15.5,26.6,0.8
Andre Drummond,drumman01,DET,30,.532,6.1,13.0,22.9,0.8
Jared Dudley,dudleja01,PHO,28,.631,10.9,16.6,14.2,0.4
Mike Dunleavy,dunlemi02,CLE,20,.509,7.9,10.6,13.3,0.0
Kris Dunn,dunnkr01,MIN,28,.461,20.6,21.3,15.6,0.0
Kevin Durant,duranke01,GSW,30,.647,21.5,9.7,27.6,2.6
Henry Ellenson,ellenhe01,DET,8,.500,4.8,15.4,19.0,0.0
Wayne Ellington,ellinwa01,MIA,11,.557,10.4,3.8,17.3,0.2
Monta Ellis,ellismo01,IND,24,.518,17.3,19.9,16.4,-0.1
Joel Embiid,embiijo01,PHI,19,.566,14.8,18.2,35.4,0.5
James Ennis,ennisja01,MEM,17,.572,7.5,10.8,13.7,0.3
Tyler Ennis,ennisty01,HOU,17,.444,26.1,25.5,19.4,-0.2
Tyreke Evans,evansty01,NOP,3,.440,30.6,17.2,25.1,0.0
Dante Exum,exumda01,UTA,28,.508,12.7,14.9,17.1,0.0
Kenneth Faried,farieke01,DEN,28,.584,5.6,12.9,17.6,0.6
Jordan Farmar,farmajo01,SAC,2,.500,39.4,20.0,19.2,0.0
Derrick Favors,favorde01,UTA,15,.506,3.8,10.7,22.3,0.0
Kay Felder,feldeka01,CLE,12,.479,28.6,15.8,22.9,-0.1
Cristiano Felicio,feliccr01,CHI,20,.511,5.8,9.4,12.7,0.1
Raymond Felton,feltora01,LAC,28,.534,12.0,12.6,15.2,0.3
Yogi Ferrell,ferreyo01,BRK,10,.482,17.1,20.0,19.5,-0.2
Dorian Finney-Smith,finnedo01,DAL,28,.553,6.8,11.9,12.1,0.2
Bryn Forbes,forbebr01,SAS,12,.346,2.5,0.0,12.0,-0.1
Evan Fournier,fournev01,ORL,31,.570,18.0,11.5,23.7,0.5
Randy Foye,foyera01,BRK,18,.490,17.3,21.3,16.4,-0.2
Tim Frazier,fraziti01,NOP,30,.539,36.7,19.5,18.1,0.3
Channing Frye,fryech01,CLE,20,.626,6.5,6.5,20.4,0.3
Danilo Gallinari,gallida01,DEN,26,.588,9.4,9.0,18.7,0.5
Langston Galloway,gallola01,NOP,30,.505,11.5,6.9,21.3,0.2
Marc Gasol,gasolma01,MEM,29,.550,24.7,10.0,27.1,1.9
Pau Gasol,gasolpa01,SAS,28,.553,16.9,10.5,21.1,1.0
Rudy Gay,gayru01,SAC,23,.556,15.5,11.7,25.2,0.7
Michael Gbinije,gbinimi01,DET,7,.202,10.1,0.0,17.3,-0.1
Alonzo Gee,geeal01,DEN,12,.324,9.1,10.5,9.4,0.0
Paul George,georgpa01,IND,24,.561,15.0,13.6,27.4,0.8
Jonathan Gibson,gibsojo01,DAL,16,.492,19.7,16.3,26.4,-0.2
Taj Gibson,gibsota01,CHI,28,.575,8.3,12.9,19.2,0.5
Manu Ginobili,ginobma01,SAS,24,.529,19.8,17.2,21.1,0.4
Rudy Gobert,goberru01,UTA,30,.717,4.3,15.8,15.1,1.9
Archie Goodwin,goodwar01,NOP,3,.798,4.6,0.0,13.9,0.0
Aaron Gordon,gordoaa01,ORL,31,.490,10.8,9.2,20.0,0.0
Eric Gordon,gordoer01,HOU,30,.598,14.2,11.1,23.1,0.6
Marcin Gortat,gortama01,WAS,28,.589,6.6,14.2,13.9,0.7
Treveon Graham,grahatr01,CHO,6,.845,5.6,10.1,8.3,0.0
Jerami Grant,grantje01,TOT,28,.550,3.0,8.8,13.6,-0.1
Jerami Grant,grantje01,PHI,2,.390,0.0,12.8,25.4,-0.2
Jerami Grant,grantje01,OKC,26,.572,3.2,8.2,12.7,0.0
Jerian Grant,grantje02,CHI,20,.436,13.2,8.9,17.0,0.0
Danny Green,greenda02,SAS,21,.646,11.1,12.8,12.0,0.7
Draymond Green,greendr01,GSW,28,.526,28.1,16.3,15.8,2.1
Gerald Green,greenge01,BOS,13,.397,19.0,11.7,24.1,-0.1
JaMychal Green,greenja01,MEM,31,.529,7.0,13.5,14.9,0.5
Jeff Green,greenje02,ORL,30,.502,8.8,11.3,19.4,-0.4
Blake Griffin,griffbl01,LAC,26,.543,24.2,11.0,29.0,1.4
Justin Hamilton,hamilju01,BRK,23,.529,6.7,11.3,13.6,0.0
A.J. Hammons,hammoaj01,DAL,15,.433,4.7,10.6,19.2,-0.1
Tim Hardaway,hardati02,ATL,29,.535,12.4,8.3,22.7,-0.1
James Harden,hardeja01,HOU,30,.603,51.8,18.9,33.1,3.3
Maurice Harkless,harklma01,POR,30,.571,4.3,10.2,17.1,0.4
