Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Norman Powell,powelno01,TOR,24,.642,9.4,7.8,17.6,0.5
Tim Quarterman,quartti01,POR,10,1.000,19.2,20.0,12.8,0.0
Julius Randle,randlju01,LAL,28,.535,18.6,19.4,22.0,0.2
Zach Randolph,randoza01,MEM,24,.469,14.8,7.1,29.8,0.0
J.J. Redick,redicjj01,LAC,29,.621,5.4,9.8,22.7,0.4
Willie Reed,reedwi02,MIA,22,.547,3.7,5.1,13.9,0.1
Josh Richardson,richajo01,MIA,20,.473,11.4,10.7,18.2,0.0
Malachi Richardson,richama01,SAC,4,.506,14.4,0.0,20.1,0.0
Austin Rivers,riverau01,LAC,29,.542,13.2,9.3,17.4,0.2
Andre Roberson,roberan03,OKC,29,.508,4.5,8.8,10.6,0.4
Brian Roberts,roberbr01,CHO,7,.345,12.5,18.7,21.6,-0.1
Glenn Robinson,robingl02,IND,29,.490,4.6,9.3,13.5,-0.2
Thomas Robinson,robinth01,LAL,19,.445,6.6,13.5,16.0,-0.1
Sergio Rodriguez,rodrise01,PHI,27,.470,37.4,20.7,19.2,-0.2
Rajon Rondo,rondora01,CHI,24,.429,34.6,23.5,16.9,0.3
Derrick Rose,rosede01,NYK,25,.518,23.6,12.9,25.8,0.1
Terrence Ross,rosste01,TOR,27,.614,4.5,4.1,20.0,0.6
Terry Rozier,roziete01,BOS,29,.460,14.8,8.2,17.3,-0.1
Ricky Rubio,rubiori01,MIN,23,.513,30.3,23.6,12.5,0.3
Damjan Rudez,rudezda01,ORL,18,.515,7.1,15.0,12.3,0.0
Brandon Rush,rushbr01,MIN,11,.342,7.8,16.7,10.8,-0.1
D'Angelo Russell,russeda01,LAL,19,.528,29.5,17.8,28.5,0.2
Domantas Sabonis,sabondo01,OKC,29,.519,8.8,16.2,14.5,-0.2
Dario Saric,saricda01,PHI,28,.485,11.6,17.0,21.2,-0.4
Tomas Satoransky,satorto01,WAS,21,.440,20.3,18.7,13.3,-0.2
Dennis Schroder,schrode01,ATL,29,.548,34.8,16.6,26.7,0.2
Luis Scola,scolalu01,BRK,25,.546,11.8,17.6,19.5,0.0
Mike Scott,scottmi01,ATL,5,.308,15.5,10.1,16.3,-0.1
Thabo Sefolosha,sefolth01,ATL,26,.540,10.1,13.5,13.8,0.7
Kevin Seraphin,serapke01,IND,14,.493,10.6,13.2,21.4,0.0
Ramon Sessions,sessira01,CHO,29,.491,27.9,12.6,19.2,-0.2
Iman Shumpert,shumpim01,CLE,26,.616,11.5,19.7,13.8,0.5
Pascal Siakam,siakapa01,TOR,28,.565,3.7,13.5,13.6,0.3
Jonathon Simmons,simmojo02,SAS,29,.515,13.9,16.8,16.9,0.1
Kyle Singler,singlky01,OKC,15,.455,2.3,18.5,11.9,-0.3
Marcus Smart,smartma01,BOS,26,.456,20.5,15.4,18.2,0.1
Ish Smith,smithis01,DET,31,.455,33.1,12.4,19.4,0.2
J.R. Smith,smithjr01,CLE,21,.481,6.0,7.4,14.8,0.3
Jason Smith,smithja02,WAS,26,.500,4.2,18.3,17.1,-0.3
Tony Snell,snellto01,MIL,26,.517,6.3,7.7,12.9,0.0
Marreese Speights,speigma01,LAC,30,.576,8.1,7.6,24.3,0.5
Nik Stauskas,stausni01,PHI,27,.596,11.6,16.6,16.3,0.0
Lance Stephenson,stephla01,NOP,6,.496,28.7,15.8,19.0,-0.1
Jarnell Stokes,stokeja01,DEN,2,.798,42.9,0.0,11.3,0.0
Diamond Stone,stonedi01,LAC,4,.304,0.0,9.2,30.2,-0.1
Rodney Stuckey,stuckro01,IND,16,.539,15.9,16.1,21.8,-0.2
Walter Tavares,tavarwa01,ATL,1,.532,0.0,0.0,20.4,0.0
Jeff Teague,teaguje01,IND,31,.551,35.3,15.2,23.3,1.2
Mirza Teletovic,teletmi01,MIL,24,.577,6.6,9.6,19.9,0.0
Garrett Temple,templga01,SAC,29,.580,13.3,13.7,13.3,0.5
Jason Terry,terryja01,MIL,22,.457,10.8,8.8,9.8,-0.1
Isaiah Thomas,thomais02,BOS,25,.590,33.7,8.4,33.1,1.4
Lance Thomas,thomala01,NYK,18,.483,2.4,10.5,14.0,-0.2
Hollis Thompson,thompho01,PHI,27,.511,7.5,5.6,14.5,0.0
Klay Thompson,thompkl01,GSW,30,.582,9.5,8.9,25.8,0.3
Tristan Thompson,thomptr01,CLE,27,.564,3.7,10.2,10.0,0.8
Marcus Thornton,thornma01,WAS,27,.495,9.9,8.6,19.2,-0.1
Anthony Tolliver,tollian01,SAC,17,.561,6.5,10.4,11.7,0.1
Karl-Anthony Towns,townska01,MIN,28,.556,12.6,11.7,27.9,1.0
P.J. Tucker,tuckepj01,PHO,29,.476,5.7,11.9,11.5,0.2
Evan Turner,turneev01,POR,29,.497,17.8,11.8,18.4,-0.1
Myles Turner,turnemy01,IND,30,.611,5.6,10.3,20.8,1.0
Beno Udrih,udrihbe01,DET,24,.539,32.0,11.5,19.5,0.1
Tyler Ulis,ulisty01,PHO,17,.472,25.3,18.5,18.6,-0.1
Jonas Valanciunas,valanjo01,TOR,26,.586,4.4,12.7,19.5,0.3
Denzel Valentine,valende01,CHI,20,.391,6.0,10.7,14.0,-0.2
Fred VanVleet,vanvlfr01,TOR,8,.423,24.3,7.1,15.5,0.0
Anderson Varejao,varejan01,GSW,9,.477,13.0,34.2,12.1,0.0
Greivis Vasquez,vasqugr01,BRK,3,.376,17.6,9.7,11.1,-0.1
Rashad Vaughn,vaughra01,MIL,14,.500,3.6,6.1,17.6,-0.1
Noah Vonleh,vonleno01,POR,24,.471,2.0,20.3,15.2,-0.4
Nikola Vucevic,vucevni01,ORL,28,.465,16.8,9.0,24.3,0.4
Sasha Vujacic,vujacsa01,NYK,18,.444,15.3,21.0,14.7,-0.1
Dwyane Wade,wadedw01,CHI,26,.526,20.7,10.7,28.6,0.8
Dion Waiters,waitedi01,MIA,16,.455,20.3,12.3,24.8,-0.1
Kemba Walker,walkeke02,CHO,28,.576,30.9,10.0,29.0,1.7
John Wall,walljo01,WAS,26,.553,44.9,16.9,31.3,1.7
Taurean Waller-Prince,princta02,ATL,18,.506,9.3,17.0,17.5,-0.1
T.J. Warren,warretj01,PHO,16,.511,5.0,5.0,23.0,0.0
C.J. Watson,watsocj01,ORL,21,.437,12.6,9.7,11.3,-0.1
David West,westda01,GSW,30,.577,22.0,25.1,18.6,0.3
Russell Westbrook,westbru01,OKC,29,.541,58.4,15.9,41.9,4.1
Isaiah Whitehead,whiteis01,BRK,22,.486,20.3,23.8,16.8,-0.5
Hassan Whiteside,whiteha01,MIA,30,.563,3.4,10.8,23.7,0.3
Andrew Wiggins,wiggian01,MIN,28,.532,11.1,10.7,27.4,-0.2
C.J. Wilcox,wilcocj01,ORL,10,.388,17.2,18.9,12.5,-0.1
Alan Williams,willial03,PHO,12,.551,1.6,17.0,19.4,0.0
Deron Williams,willide01,DAL,21,.524,38.6,13.9,24.0,0.1
Derrick Williams,willide02,MIA,16,.459,3.6,5.6,20.9,-0.2
Lou Williams,willilo02,LAL,32,.601,23.0,12.3,30.3,1.0
Marvin Williams,willima02,CHO,23,.502,7.4,5.9,17.7,0.1
Reggie Williams,willire02,NOP,5,.542,9.4,0.0,16.2,0.0
Troy Williams,willitr02,MEM,24,.477,7.7,16.9,17.3,0.0
Kyle Wiltjer,wiltjky01,HOU,6,.727,0.0,22.5,21.2,0.0
Justise Winslow,winslju01,MIA,14,.420,14.8,11.3,20.0,0.0
Jeff Withey,witheje01,UTA,23,.617,1.4,13.7,12.7,0.2
Christian Wood,woodch01,CHO,1,.000,0.0,0.0,14.8,0.0
Metta World Peace,artesro01,LAL,12,.338,7.7,7.8,15.5,-0.1
James Young,youngja01,BOS,11,.500,6.7,6.7,10.5,0.0
Joe Young,youngjo01,IND,16,.439,16.6,3.5,25.7,-0.1
Nick Young,youngni01,LAL,25,.627,6.8,5.2,20.3,0.4
Thaddeus Young,youngth01,IND,31,.591,7.5,13.6,16.5,0.7
Cody Zeller,zelleco01,CHO,26,.612,7.8,11.2,17.0,0.7
Tyler Zeller,zellety01,BOS,24,.478,12.1,8.6,17.0,0.0
Stephen Zimmerman,zimmest01,ORL,5,.269,7.5,0.0,16.7,0.0
Paul Zipser,zipsepa01,CHI,8,.108,11.3,17.8,15.9,-0.1
Ivica Zubac,zubaciv01,LAL,6,.383,0.0,14.5,15.8,-0.1


